IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
Clique1,38.0,6.0,241.0,570.0,7313.0
Clique2,26.0,18.0,162.0,77.0,1186.0
Clique3,13.0,0.0,0.0,20.0,1263.0
Clique4,10.0,0.0,0.0,57.0,1332.0
Clique5,6.0,0.0,0.0,11.0,100.0
Clique6,5.0,0.0,0.0,10.0,482.0
Clique7,4.0,0.0,0.0,22.0,1567.0
Clique8,4.0,0.0,0.0,15.0,920.0
Clique9,4.0,1.0,10.0,3.0,13.0
Clique10,3.0,1.0,7.0,11.0,314.0
Clique11,3.0,0.0,0.0,11.0,421.0
Clique12,2.0,0.0,0.0,2.0,12.0
Clique13,2.0,0.0,0.0,1.0,4.0
Clique14,2.0,0.0,0.0,5.0,99.0
Clique15,2.0,0.0,0.0,3.0,20.0
Clique16,2.0,0.0,0.0,1.0,2.0
Clique17,2.0,2.0,16.0,4.0,25.0
Clique18,2.0,0.0,0.0,4.0,15.0
Clique19,2.0,0.0,0.0,1.0,2.0
Clique20,2.0,0.0,0.0,5.0,117.0
Clique21,2.0,0.0,0.0,1.0,7.0
Clique22,2.0,0.0,0.0,1.0,2.0
Clique23,2.0,0.0,0.0,7.0,57.0
Clique24,2.0,2.0,15.0,15.0,292.0
Clique25,2.0,0.0,0.0,0.0,0.0
Clique26,2.0,0.0,0.0,5.0,147.0

Clique-All,146.0,30.0,451.0,862.0,15712.0
