IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
Crossing1,131.0,0.0,0.0,667.0,6985.0
Crossing2,54.0,4.0,85.0,750.0,9230.0
Crossing3,21.0,8.0,293.0,469.0,8048.0
Crossing4,19.0,1.0,8.0,288.0,4762.0
Crossing5,17.0,3.0,36.0,289.0,4498.0
Crossing6,16.0,5.0,229.0,329.0,4845.0
Crossing7,13.0,4.0,36.0,368.0,6088.0
Crossing8,13.0,1.0,8.0,253.0,3577.0
Crossing9,12.0,2.0,60.0,206.0,2863.0
Crossing10,12.0,2.0,58.0,275.0,3515.0
Crossing11,11.0,5.0,170.0,219.0,3241.0
Crossing12,11.0,3.0,117.0,234.0,3641.0
Crossing13,9.0,7.0,172.0,219.0,3626.0

Crossing-All,243.0,14.0,358.0,2210.0,27245.0
