IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
ModularityViolation1,135.0,9.0,308.0,1475.0,13573.0
ModularityViolation2,127.0,0.0,0.0,633.0,3333.0
ModularityViolation3,126.0,10.0,316.0,1476.0,14167.0
ModularityViolation4,122.0,9.0,308.0,1401.0,13208.0
ModularityViolation5,120.0,9.0,308.0,1329.0,11804.0
ModularityViolation6,120.0,9.0,304.0,1353.0,13238.0
ModularityViolation7,91.0,0.0,0.0,309.0,1706.0
ModularityViolation8,54.0,7.0,254.0,784.0,9762.0
ModularityViolation9,43.0,5.0,98.0,662.0,8089.0
ModularityViolation10,42.0,7.0,60.0,544.0,7652.0
ModularityViolation11,29.0,7.0,250.0,542.0,7627.0
ModularityViolation12,28.0,1.0,7.0,90.0,498.0
ModularityViolation13,24.0,0.0,0.0,108.0,646.0
ModularityViolation14,23.0,1.0,5.0,306.0,4597.0
ModularityViolation15,20.0,3.0,16.0,189.0,3649.0
ModularityViolation16,18.0,0.0,0.0,77.0,500.0
ModularityViolation17,17.0,0.0,0.0,161.0,1039.0
ModularityViolation18,14.0,0.0,0.0,103.0,665.0
ModularityViolation19,13.0,1.0,46.0,227.0,2489.0
ModularityViolation20,13.0,0.0,0.0,70.0,770.0
ModularityViolation21,12.0,3.0,16.0,141.0,2932.0
ModularityViolation22,12.0,1.0,16.0,70.0,1274.0
ModularityViolation23,11.0,0.0,0.0,121.0,5959.0
ModularityViolation24,11.0,0.0,0.0,219.0,5010.0
ModularityViolation25,11.0,0.0,0.0,88.0,965.0
ModularityViolation26,10.0,1.0,8.0,192.0,5258.0
ModularityViolation27,10.0,0.0,0.0,78.0,572.0
ModularityViolation28,9.0,0.0,0.0,86.0,958.0
ModularityViolation29,9.0,3.0,17.0,65.0,728.0
ModularityViolation30,9.0,0.0,0.0,28.0,343.0
ModularityViolation31,8.0,0.0,0.0,27.0,589.0
ModularityViolation32,8.0,4.0,128.0,52.0,1201.0
ModularityViolation33,8.0,0.0,0.0,45.0,966.0
ModularityViolation34,6.0,0.0,0.0,46.0,3872.0
ModularityViolation35,6.0,0.0,0.0,19.0,209.0
ModularityViolation36,6.0,0.0,0.0,84.0,1035.0
ModularityViolation37,6.0,1.0,375.0,29.0,506.0
ModularityViolation38,5.0,7.0,112.0,31.0,336.0
ModularityViolation39,4.0,3.0,14.0,87.0,1920.0
ModularityViolation40,4.0,0.0,0.0,17.0,224.0
ModularityViolation41,4.0,0.0,0.0,12.0,40.0
ModularityViolation42,4.0,0.0,0.0,30.0,342.0
ModularityViolation43,3.0,0.0,0.0,22.0,250.0
ModularityViolation44,3.0,0.0,0.0,10.0,413.0
ModularityViolation45,3.0,0.0,0.0,23.0,3564.0
ModularityViolation46,3.0,1.0,1.0,71.0,1573.0
ModularityViolation47,3.0,0.0,0.0,25.0,576.0
ModularityViolation48,3.0,0.0,0.0,12.0,57.0
ModularityViolation49,2.0,0.0,0.0,7.0,445.0
ModularityViolation50,2.0,0.0,0.0,9.0,213.0
ModularityViolation51,2.0,0.0,0.0,18.0,652.0
ModularityViolation52,2.0,2.0,13.0,10.0,252.0
ModularityViolation53,2.0,0.0,0.0,10.0,119.0
ModularityViolation54,2.0,0.0,0.0,6.0,35.0
ModularityViolation55,2.0,0.0,0.0,14.0,97.0
ModularityViolation56,2.0,3.0,41.0,25.0,281.0
ModularityViolation57,2.0,0.0,0.0,15.0,183.0

ModularityViolation-All,659.0,39.0,1067.0,4592.0,60220.0
