IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
PackageCycle1,84.0,9.0,300.0,1211.0,14130.0
PackageCycle2,71.0,5.0,154.0,996.0,11653.0
PackageCycle3,39.0,0.0,0.0,3.0,13.0
PackageCycle4,38.0,0.0,0.0,89.0,4032.0
PackageCycle5,28.0,18.0,193.0,74.0,1074.0
PackageCycle6,23.0,4.0,85.0,309.0,5264.0
PackageCycle7,21.0,8.0,72.0,88.0,1651.0
PackageCycle8,20.0,9.0,72.0,67.0,2033.0
PackageCycle9,19.0,1.0,6.0,93.0,2240.0
PackageCycle10,18.0,0.0,0.0,0.0,0.0
PackageCycle11,17.0,0.0,0.0,10.0,118.0
PackageCycle12,17.0,8.0,59.0,61.0,1150.0
PackageCycle13,16.0,0.0,0.0,32.0,2076.0
PackageCycle14,14.0,6.0,46.0,51.0,935.0
PackageCycle15,14.0,11.0,94.0,64.0,1311.0
PackageCycle16,14.0,2.0,60.0,249.0,3544.0
PackageCycle17,12.0,4.0,45.0,28.0,752.0
PackageCycle18,12.0,0.0,0.0,10.0,57.0
PackageCycle19,11.0,3.0,11.0,129.0,3132.0
PackageCycle20,11.0,2.0,75.0,203.0,2268.0
PackageCycle21,10.0,3.0,61.0,55.0,773.0
PackageCycle22,10.0,0.0,0.0,30.0,558.0
PackageCycle23,10.0,0.0,0.0,10.0,67.0
PackageCycle24,8.0,1.0,39.0,3.0,57.0
PackageCycle25,7.0,2.0,4.0,14.0,160.0
PackageCycle26,7.0,2.0,2.0,23.0,504.0
PackageCycle27,7.0,1.0,2.0,20.0,264.0
PackageCycle28,7.0,1.0,22.0,122.0,2370.0
PackageCycle29,7.0,0.0,0.0,93.0,1945.0
PackageCycle30,7.0,1.0,8.0,105.0,2459.0
PackageCycle31,7.0,0.0,0.0,10.0,86.0
PackageCycle32,7.0,2.0,41.0,25.0,498.0
PackageCycle33,7.0,1.0,9.0,12.0,408.0
PackageCycle34,7.0,0.0,0.0,5.0,19.0
PackageCycle35,6.0,0.0,0.0,11.0,101.0
PackageCycle36,6.0,3.0,41.0,33.0,436.0
PackageCycle37,6.0,1.0,9.0,21.0,313.0
PackageCycle38,6.0,0.0,0.0,24.0,471.0
PackageCycle39,6.0,0.0,0.0,9.0,123.0
PackageCycle40,5.0,0.0,0.0,13.0,1975.0
PackageCycle41,5.0,2.0,15.0,20.0,605.0
PackageCycle42,5.0,0.0,0.0,16.0,242.0
PackageCycle43,5.0,0.0,0.0,19.0,410.0
PackageCycle44,5.0,1.0,5.0,68.0,748.0
PackageCycle45,5.0,0.0,0.0,23.0,1542.0
PackageCycle46,5.0,0.0,0.0,13.0,190.0
PackageCycle47,5.0,0.0,0.0,100.0,2096.0
PackageCycle48,5.0,1.0,22.0,21.0,349.0
PackageCycle49,5.0,2.0,62.0,13.0,126.0
PackageCycle50,5.0,0.0,0.0,26.0,1635.0
PackageCycle51,5.0,0.0,0.0,12.0,197.0
PackageCycle52,5.0,0.0,0.0,7.0,85.0
PackageCycle53,4.0,0.0,0.0,30.0,893.0
PackageCycle54,4.0,0.0,0.0,4.0,354.0
PackageCycle55,4.0,0.0,0.0,27.0,744.0
PackageCycle56,4.0,2.0,16.0,5.0,28.0
PackageCycle57,4.0,0.0,0.0,7.0,36.0
PackageCycle58,4.0,0.0,0.0,11.0,159.0
PackageCycle59,4.0,1.0,8.0,82.0,2033.0
PackageCycle60,4.0,0.0,0.0,22.0,310.0
PackageCycle61,4.0,0.0,0.0,13.0,140.0
PackageCycle62,3.0,2.0,8.0,21.0,277.0
PackageCycle63,3.0,0.0,0.0,23.0,387.0
PackageCycle64,3.0,0.0,0.0,11.0,63.0

PackageCycle-All,536.0,57.0,875.0,2648.0,47101.0
