IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
UnhealthyInheritance1,179.0,15.0,286.0,1229.0,18741.0
UnhealthyInheritance2,147.0,15.0,170.0,853.0,18479.0
UnhealthyInheritance3,116.0,8.0,92.0,430.0,10875.0
UnhealthyInheritance4,111.0,7.0,176.0,402.0,3464.0
UnhealthyInheritance5,103.0,14.0,231.0,308.0,5981.0
UnhealthyInheritance6,60.0,6.0,71.0,633.0,7553.0
UnhealthyInheritance7,53.0,6.0,85.0,525.0,8165.0
UnhealthyInheritance8,52.0,4.0,163.0,626.0,8124.0
UnhealthyInheritance9,48.0,1.0,7.0,143.0,855.0
UnhealthyInheritance10,32.0,4.0,16.0,205.0,3530.0
UnhealthyInheritance11,26.0,0.0,0.0,1.0,2.0
UnhealthyInheritance12,21.0,12.0,106.0,89.0,1640.0
UnhealthyInheritance13,18.0,1.0,2.0,50.0,904.0
UnhealthyInheritance14,17.0,15.0,179.0,51.0,570.0
UnhealthyInheritance15,15.0,0.0,0.0,147.0,2718.0
UnhealthyInheritance16,15.0,4.0,48.0,87.0,984.0
UnhealthyInheritance17,13.0,2.0,10.0,317.0,5676.0
UnhealthyInheritance18,12.0,7.0,57.0,47.0,1048.0
UnhealthyInheritance19,12.0,1.0,5.0,37.0,432.0
UnhealthyInheritance20,11.0,0.0,0.0,1.0,2.0
UnhealthyInheritance21,10.0,2.0,6.0,103.0,1941.0
UnhealthyInheritance22,10.0,1.0,8.0,144.0,2789.0
UnhealthyInheritance23,10.0,0.0,0.0,0.0,0.0
UnhealthyInheritance24,9.0,0.0,0.0,7.0,31.0
UnhealthyInheritance25,9.0,0.0,0.0,34.0,847.0
UnhealthyInheritance26,9.0,1.0,8.0,93.0,2084.0
UnhealthyInheritance27,9.0,1.0,50.0,79.0,1562.0
UnhealthyInheritance28,9.0,3.0,119.0,133.0,2488.0
UnhealthyInheritance29,8.0,0.0,0.0,169.0,2484.0
UnhealthyInheritance30,8.0,0.0,0.0,16.0,564.0
UnhealthyInheritance31,8.0,5.0,49.0,36.0,777.0
UnhealthyInheritance32,8.0,0.0,0.0,8.0,46.0
UnhealthyInheritance33,7.0,3.0,126.0,130.0,1570.0
UnhealthyInheritance34,7.0,0.0,0.0,32.0,532.0
UnhealthyInheritance35,7.0,3.0,158.0,85.0,1329.0
UnhealthyInheritance36,7.0,0.0,0.0,25.0,193.0
UnhealthyInheritance37,6.0,0.0,0.0,37.0,600.0
UnhealthyInheritance38,6.0,0.0,0.0,23.0,398.0
UnhealthyInheritance39,6.0,0.0,0.0,4.0,27.0
UnhealthyInheritance40,6.0,2.0,11.0,5.0,26.0
UnhealthyInheritance41,6.0,0.0,0.0,7.0,630.0
UnhealthyInheritance42,6.0,0.0,0.0,0.0,0.0
UnhealthyInheritance43,6.0,0.0,0.0,12.0,490.0
UnhealthyInheritance44,6.0,0.0,0.0,9.0,100.0
UnhealthyInheritance45,6.0,0.0,0.0,0.0,0.0
UnhealthyInheritance46,6.0,0.0,0.0,12.0,719.0
UnhealthyInheritance47,5.0,1.0,5.0,25.0,272.0
UnhealthyInheritance48,5.0,0.0,0.0,31.0,648.0
UnhealthyInheritance49,5.0,0.0,0.0,86.0,1773.0
UnhealthyInheritance50,5.0,0.0,0.0,15.0,85.0
UnhealthyInheritance51,5.0,0.0,0.0,47.0,1046.0
UnhealthyInheritance52,5.0,0.0,0.0,20.0,379.0
UnhealthyInheritance53,5.0,0.0,0.0,5.0,15.0
UnhealthyInheritance54,5.0,0.0,0.0,7.0,781.0
UnhealthyInheritance55,5.0,4.0,25.0,17.0,319.0
UnhealthyInheritance56,5.0,0.0,0.0,14.0,93.0
UnhealthyInheritance57,4.0,0.0,0.0,26.0,330.0
UnhealthyInheritance58,4.0,1.0,10.0,3.0,13.0
UnhealthyInheritance59,4.0,0.0,0.0,3.0,6.0
UnhealthyInheritance60,4.0,0.0,0.0,8.0,400.0
UnhealthyInheritance61,4.0,0.0,0.0,4.0,195.0
UnhealthyInheritance62,4.0,0.0,0.0,12.0,287.0
UnhealthyInheritance63,4.0,3.0,27.0,14.0,236.0
UnhealthyInheritance64,4.0,0.0,0.0,6.0,74.0
UnhealthyInheritance65,4.0,0.0,0.0,0.0,0.0
UnhealthyInheritance66,3.0,0.0,0.0,13.0,145.0
UnhealthyInheritance67,3.0,1.0,1.0,9.0,121.0
UnhealthyInheritance68,3.0,0.0,0.0,20.0,2169.0
