IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
UnstableInterface1,140.0,0.0,0.0,897.0,9334.0
UnstableInterface2,140.0,12.0,340.0,1797.0,20395.0
UnstableInterface3,135.0,0.0,0.0,695.0,7477.0
UnstableInterface4,129.0,10.0,316.0,1582.0,16785.0
UnstableInterface5,126.0,10.0,316.0,1549.0,16120.0
UnstableInterface6,107.0,11.0,339.0,1458.0,17660.0
UnstableInterface7,90.0,0.0,0.0,301.0,1561.0
UnstableInterface8,36.0,1.0,5.0,352.0,4274.0
UnstableInterface9,25.0,2.0,13.0,519.0,10065.0
UnstableInterface10,19.0,1.0,50.0,151.0,2171.0

UnstableInterface-All,433.0,14.0,395.0,3380.0,39371.0
