Index,Size
ModularityViolation1,135
ModularityViolation2,127
ModularityViolation3,126
ModularityViolation4,122
ModularityViolation5,120
ModularityViolation6,120
ModularityViolation7,91
ModularityViolation8,54
ModularityViolation9,43
ModularityViolation10,42
ModularityViolation11,29
ModularityViolation12,28
ModularityViolation13,24
ModularityViolation14,23
ModularityViolation15,20
ModularityViolation16,18
ModularityViolation17,17
ModularityViolation18,14
ModularityViolation19,13
ModularityViolation20,13
ModularityViolation21,12
ModularityViolation22,12
ModularityViolation23,11
ModularityViolation24,11
ModularityViolation25,11
ModularityViolation26,10
ModularityViolation27,10
ModularityViolation28,9
ModularityViolation29,9
ModularityViolation30,9
ModularityViolation31,8
ModularityViolation32,8
ModularityViolation33,8
ModularityViolation34,6
ModularityViolation35,6
ModularityViolation36,6
ModularityViolation37,6
ModularityViolation38,5
ModularityViolation39,4
ModularityViolation40,4
ModularityViolation41,4
ModularityViolation42,4
ModularityViolation43,3
ModularityViolation44,3
ModularityViolation45,3
ModularityViolation46,3
ModularityViolation47,3
ModularityViolation48,3
ModularityViolation49,2
ModularityViolation50,2
ModularityViolation51,2
ModularityViolation52,2
ModularityViolation53,2
ModularityViolation54,2
ModularityViolation55,2
ModularityViolation56,2
ModularityViolation57,2

