Index,Size
UnhealthyInheritance1,179
UnhealthyInheritance2,147
UnhealthyInheritance3,116
UnhealthyInheritance4,111
UnhealthyInheritance5,103
UnhealthyInheritance6,60
UnhealthyInheritance7,53
UnhealthyInheritance8,52
UnhealthyInheritance9,48
UnhealthyInheritance10,32
UnhealthyInheritance11,26
UnhealthyInheritance12,21
UnhealthyInheritance13,18
UnhealthyInheritance14,17
UnhealthyInheritance15,15
UnhealthyInheritance16,15
UnhealthyInheritance17,13
UnhealthyInheritance18,12
UnhealthyInheritance19,12
UnhealthyInheritance20,11
UnhealthyInheritance21,10
UnhealthyInheritance22,10
UnhealthyInheritance23,10
UnhealthyInheritance24,9
UnhealthyInheritance25,9
UnhealthyInheritance26,9
UnhealthyInheritance27,9
UnhealthyInheritance28,9
UnhealthyInheritance29,8
UnhealthyInheritance30,8
UnhealthyInheritance31,8
UnhealthyInheritance32,8
UnhealthyInheritance33,7
UnhealthyInheritance34,7
UnhealthyInheritance35,7
UnhealthyInheritance36,7
UnhealthyInheritance37,6
UnhealthyInheritance38,6
UnhealthyInheritance39,6
UnhealthyInheritance40,6
UnhealthyInheritance41,6
UnhealthyInheritance42,6
UnhealthyInheritance43,6
UnhealthyInheritance44,6
UnhealthyInheritance45,6
UnhealthyInheritance46,6
UnhealthyInheritance47,5
UnhealthyInheritance48,5
UnhealthyInheritance49,5
UnhealthyInheritance50,5
UnhealthyInheritance51,5
UnhealthyInheritance52,5
UnhealthyInheritance53,5
UnhealthyInheritance54,5
UnhealthyInheritance55,5
UnhealthyInheritance56,5
UnhealthyInheritance57,4
UnhealthyInheritance58,4
UnhealthyInheritance59,4
UnhealthyInheritance60,4
UnhealthyInheritance61,4
UnhealthyInheritance62,4
UnhealthyInheritance63,4
UnhealthyInheritance64,4
UnhealthyInheritance65,4
UnhealthyInheritance66,3
UnhealthyInheritance67,3
UnhealthyInheritance68,3
UnhealthyInheritance69,3
UnhealthyInheritance70,3
UnhealthyInheritance71,3
UnhealthyInheritance72,3
UnhealthyInheritance73,3
UnhealthyInheritance74,3
UnhealthyInheritance75,3
UnhealthyInheritance76,3
UnhealthyInheritance77,3
UnhealthyInheritance78,3
UnhealthyInheritance79,3
UnhealthyInheritance80,3
UnhealthyInheritance81,3
UnhealthyInheritance82,3
UnhealthyInheritance83,3
UnhealthyInheritance84,3
UnhealthyInheritance85,3
UnhealthyInheritance86,3
UnhealthyInheritance87,3
UnhealthyInheritance88,3
UnhealthyInheritance89,3
UnhealthyInheritance90,2
UnhealthyInheritance91,2
UnhealthyInheritance92,2
UnhealthyInheritance93,2

