"FileName","TargetCommitFreq"
"docs.pages.release_notes_md","46"
"pmd-plsql.etc.grammar.PldocAST_jjt","11"
"pmd-core.src.main.java.net.sourceforge.pmd.RuleSetFactory_java","3"
"pmd-core.src.test.resources.rulesets.dummy.basic_xml","3"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.JoinClauseTest_java","3"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.MultipleDDLStatementsTest_java","3"
"pmd-core.src.main.java.net.sourceforge.pmd.ant.internal.PMDTaskImpl_java","2"
"pmd-java.etc.grammar.Java_jjt","2"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.WhereClauseParens_pls","2"
"pmd-dist.src.test.java.net.sourceforge.pmd.it.AllRulesIT_java","2"
"pmd-core.src.test.java.net.sourceforge.pmd.RuleSetFactoryTest_java","2"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.CodeClimateRenderer_java","2"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.JavaRuleViolation_java","2"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.CodeClimateRendererTest_java","2"
"pmd-plsql.src.main.ant.alljavacc_xml","2"
"pmd-java.src.main.resources.category.java.multithreading_xml","2"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.HTMLRenderer_java","2"
"pmd-core.src.main.java.net.sourceforge.pmd.renderers.SummaryHTMLRenderer_java","2"
"pmd-core.src.main.java.net.sourceforge.pmd.processor.AbstractPMDProcessor_java","2"
"pmd-java.src.test.resources.net.sourceforge.pmd.lang.java.rule.multithreading.xml.UnsynchronizedStaticFormatter_xml","2"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.DDLCommands_sql","2"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.multithreading.UnsynchronizedStaticFormatterRule_java","2"
"pmd-java.src.test.resources.net.sourceforge.pmd.lang.java.rule.multithreading.xml.UnsynchronizedStaticDateFormatter_xml","2"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.metrics.JavaMetrics_java","1"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.InnerJoinUsing_pls","1"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.ASTExtractExpressionTest_java","1"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ApexParserVisitorAdapter_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTArrayTypeDim_java","1"
"pmd-cs.src.main.java.net.sourceforge.pmd.cpd.CsTokenizer_java","1"
"pmd-java.src.test.kotlin.net.sourceforge.pmd.lang.java.ast.ASTMethodDeclarationTest_kt","1"
"pmd-dist.src.test.java.net.sourceforge.pmd.it.BinaryDistributionIT_java","1"
"pmd-dist.src.test.resources.rulesets.all-apex_xml","1"
"pmd-core.src.test.resources.net.sourceforge.pmd.ant.xml.pmdtasktest_xml","1"
"pmd-core.src.main.java.net.sourceforge.pmd.RuleSetFactoryCompatibility_java","1"
"pmd-java.src.test.resources.net.sourceforge.pmd.lang.java.pmd5ruleset_xml","1"
"pmd-core.src.test.java.net.sourceforge.pmd.renderers.XMLRendererTest_java","1"
"pmd-java.src.test.java.net.sourceforge.pmd.typeresolution.ClassTypeResolverTest_java","1"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTArrayDimensions_java","1"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.TriggerUnit_pls","1"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.TriggerTest_java","1"
"pmd-plsql.src.test.resources.net.sourceforge.pmd.lang.plsql.ast.StringLiterals_pls","1"
"pmd-core.src.test.resources.net.sourceforge.pmd.ant.src.sample_dummy","1"
"pmd-plsql.src.test.java.net.sourceforge.pmd.lang.plsql.ast.StringLiteralsTest_java","1"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.rule.AbstractApexRule_java","1"
"pmd-cpp.src.test.resources.net.sourceforge.pmd.cpd.cpp.issue-1559_cpp","1"
