"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"pulsar-broker-common.src.main.java.org.apache.pulsar.common.configuration.PulsarConfiguration_java","0","0","0","0","0","0","0","false","0","1","0","0","false"
"pulsar-broker.src.main.java.org.apache.pulsar.broker.transaction.buffer.impl.TransactionCursorImpl_java","0","0","0","1","10","0","0","false","0","0","2","0","false"
"pulsar-io.rabbitmq.src.main.java.org.apache.pulsar.io.rabbitmq.RabbitMQSourceConfig_java","0","0","0","1","6","0","0","false","0","0","1","0","false"
"pulsar-client.src.main.java.org.apache.pulsar.client.impl.auth.AuthenticationDisabled_java","0","0","0","0","0","0","0","false","0","1","2","0","false"
"pulsar-sql.presto-pulsar.src.main.java.org.apache.pulsar.sql.presto.PulsarConnectorId_java","0","0","0","2","22","0","0","false","0","0","0","0","false"
"pulsar-client-kafka-compat.pulsar-client-kafka_0_8.src.main.java.org.apache.kafka.clients.simple.consumer.PulsarKafkaSimpleConsumer_java","0","0","0","1","354","1","0","false","0","0","1","0","false"
"pulsar-log4j2-appender.src.main.java.org.apache.pulsar.log4j2.appender.PulsarAppender_java","0","0","0","2","2","0","0","false","0","0","0","0","false"
"pulsar-broker.src.main.java.org.apache.pulsar.broker.service.schema.validator.PrimitiveSchemaDataValidator_java","0","0","0","1","45","0","0","false","0","0","1","0","false"
"pulsar-client-kafka-compat.pulsar-client-kafka_0_8.src.main.java.org.apache.kafka.clients.simple.consumer.PulsarMessage_java","0","0","0","1","41","0","0","false","0","0","0","0","false"
"pulsar-broker.src.main.java.org.apache.pulsar.client.api.RawMessage_java","0","0","0","1","1","0","0","false","0","2","1","0","false"
"pulsar-io.netty.src.main.java.org.apache.pulsar.io.netty.http.NettyHttpChannelInitializer_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"pulsar-io.netty.src.main.java.org.apache.pulsar.io.netty.server.package-info_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
