IssueType,Issue Size,#Changes,Tot Loc changed
Clique1,74.0,851.0,26525.0
Clique2,31.0,380.0,6620.0
Clique3,9.0,40.0,861.0
Clique4,8.0,24.0,313.0
Clique5,7.0,45.0,785.0
Clique6,7.0,10.0,93.0
Clique7,5.0,3.0,110.0
Clique8,4.0,20.0,600.0
Clique9,4.0,10.0,77.0
Clique10,4.0,24.0,334.0
Clique11,4.0,11.0,56.0
Clique12,3.0,16.0,708.0
Clique13,3.0,16.0,90.0
Clique14,3.0,8.0,153.0
Clique15,3.0,31.0,841.0
Clique16,3.0,7.0,66.0
Clique17,2.0,11.0,140.0
Clique18,2.0,2.0,415.0
Clique19,2.0,10.0,253.0
Clique20,2.0,5.0,193.0
Clique21,2.0,10.0,401.0
Clique22,2.0,5.0,86.0
Clique23,2.0,7.0,38.0
Clique24,2.0,68.0,636.0
Clique25,2.0,7.0,127.0
Clique26,2.0,4.0,30.0
Clique27,2.0,8.0,289.0
Clique28,2.0,1.0,10.0

Clique-All,196.0,1634.0,40850.0
