IssueType,Issue Size,#Changes,Tot Loc changed
ModularityViolation1,50.0,1030.0,28837.0
ModularityViolation2,45.0,872.0,45106.0
ModularityViolation3,41.0,719.0,20820.0
ModularityViolation4,35.0,788.0,16385.0
ModularityViolation5,33.0,485.0,13641.0
ModularityViolation6,30.0,692.0,18394.0
ModularityViolation7,30.0,400.0,7894.0
ModularityViolation8,27.0,539.0,19218.0
ModularityViolation9,27.0,305.0,5855.0
ModularityViolation10,26.0,627.0,19468.0
ModularityViolation11,22.0,417.0,13636.0
ModularityViolation12,22.0,118.0,1869.0
ModularityViolation13,22.0,446.0,8097.0
ModularityViolation14,18.0,324.0,12840.0
ModularityViolation15,16.0,179.0,4107.0
ModularityViolation16,16.0,63.0,875.0
ModularityViolation17,16.0,374.0,14064.0
ModularityViolation18,15.0,184.0,5462.0
ModularityViolation19,15.0,159.0,3510.0
ModularityViolation20,14.0,198.0,4473.0
ModularityViolation21,14.0,146.0,3117.0
ModularityViolation22,14.0,120.0,7088.0
ModularityViolation23,13.0,39.0,552.0
ModularityViolation24,13.0,122.0,3978.0
ModularityViolation25,13.0,184.0,7637.0
ModularityViolation26,12.0,102.0,2989.0
ModularityViolation27,12.0,149.0,3292.0
ModularityViolation28,8.0,94.0,1432.0
ModularityViolation29,8.0,131.0,1879.0
ModularityViolation30,8.0,73.0,4079.0
ModularityViolation31,7.0,56.0,1713.0
ModularityViolation32,7.0,117.0,1794.0
ModularityViolation33,7.0,68.0,4208.0
ModularityViolation34,6.0,101.0,1514.0
ModularityViolation35,6.0,19.0,203.0
ModularityViolation36,5.0,15.0,318.0
ModularityViolation37,5.0,15.0,197.0
ModularityViolation38,5.0,33.0,1724.0
ModularityViolation39,4.0,29.0,815.0
ModularityViolation40,4.0,22.0,671.0
ModularityViolation41,4.0,96.0,2570.0
ModularityViolation42,3.0,14.0,1913.0
ModularityViolation43,3.0,13.0,266.0
ModularityViolation44,3.0,37.0,1036.0
ModularityViolation45,3.0,13.0,154.0
ModularityViolation46,3.0,12.0,224.0
ModularityViolation47,3.0,14.0,1923.0
ModularityViolation48,3.0,15.0,635.0
ModularityViolation49,3.0,18.0,667.0
ModularityViolation50,3.0,16.0,342.0
ModularityViolation51,2.0,15.0,175.0
ModularityViolation52,2.0,8.0,610.0
ModularityViolation53,2.0,8.0,151.0
ModularityViolation54,2.0,7.0,16.0
ModularityViolation55,2.0,8.0,336.0
ModularityViolation56,2.0,9.0,206.0
ModularityViolation57,2.0,15.0,598.0
ModularityViolation58,2.0,10.0,288.0
ModularityViolation59,2.0,6.0,14.0
ModularityViolation60,2.0,6.0,243.0
ModularityViolation61,2.0,32.0,916.0
ModularityViolation62,2.0,43.0,1962.0
ModularityViolation63,2.0,6.0,68.0
ModularityViolation64,2.0,9.0,244.0

ModularityViolation-All,336.0,3185.0,114062.0
