IssueType,Issue Size,#Changes,Tot Loc changed
PackageCycle1,42.0,230.0,17067.0
PackageCycle2,40.0,56.0,673.0
PackageCycle3,37.0,514.0,10216.0
PackageCycle4,33.0,55.0,1527.0
PackageCycle5,30.0,363.0,6187.0
PackageCycle6,17.0,75.0,1232.0
PackageCycle7,14.0,44.0,740.0
PackageCycle8,14.0,118.0,2139.0
PackageCycle9,12.0,181.0,4400.0
PackageCycle10,12.0,3.0,24.0
PackageCycle11,12.0,14.0,4.0
PackageCycle12,12.0,318.0,14852.0
PackageCycle13,11.0,50.0,1736.0
PackageCycle14,11.0,236.0,4804.0
PackageCycle15,11.0,78.0,4941.0
PackageCycle16,10.0,191.0,14420.0
PackageCycle17,10.0,42.0,229.0
PackageCycle18,9.0,46.0,1429.0
PackageCycle19,9.0,109.0,1958.0
PackageCycle20,9.0,21.0,269.0
PackageCycle21,8.0,52.0,1158.0
PackageCycle22,8.0,172.0,3718.0
PackageCycle23,8.0,8.0,51.0
PackageCycle24,8.0,10.0,7.0
PackageCycle25,8.0,3.0,20.0
PackageCycle26,7.0,15.0,123.0
PackageCycle27,7.0,29.0,345.0
PackageCycle28,7.0,21.0,1166.0
PackageCycle29,7.0,18.0,586.0
PackageCycle30,7.0,19.0,398.0
PackageCycle31,7.0,9.0,775.0
PackageCycle32,6.0,65.0,2107.0
PackageCycle33,6.0,53.0,944.0
PackageCycle34,6.0,46.0,729.0
PackageCycle35,6.0,15.0,559.0
PackageCycle36,6.0,22.0,339.0
PackageCycle37,6.0,59.0,1470.0
PackageCycle38,6.0,11.0,110.0
PackageCycle39,6.0,13.0,114.0
PackageCycle40,6.0,23.0,641.0
PackageCycle41,6.0,32.0,825.0
PackageCycle42,6.0,41.0,1048.0
PackageCycle43,6.0,92.0,2339.0
PackageCycle44,6.0,8.0,38.0
PackageCycle45,6.0,28.0,261.0
PackageCycle46,5.0,158.0,3919.0
PackageCycle47,5.0,28.0,1187.0
PackageCycle48,5.0,26.0,525.0
PackageCycle49,5.0,20.0,440.0
PackageCycle50,5.0,9.0,116.0
PackageCycle51,5.0,74.0,1790.0
PackageCycle52,5.0,5.0,30.0
PackageCycle53,5.0,124.0,3072.0
PackageCycle54,5.0,53.0,980.0
PackageCycle55,5.0,5.0,30.0
PackageCycle56,5.0,72.0,691.0
PackageCycle57,5.0,23.0,129.0
PackageCycle58,5.0,68.0,622.0
PackageCycle59,4.0,21.0,1101.0
PackageCycle60,4.0,32.0,655.0
PackageCycle61,4.0,47.0,745.0
PackageCycle62,4.0,47.0,869.0
PackageCycle63,4.0,44.0,924.0
PackageCycle64,4.0,11.0,84.0
PackageCycle65,4.0,23.0,711.0
PackageCycle66,4.0,42.0,1214.0
PackageCycle67,4.0,10.0,67.0
PackageCycle68,4.0,60.0,791.0
PackageCycle69,4.0,2.0,14.0
PackageCycle70,4.0,20.0,199.0
PackageCycle71,3.0,48.0,861.0
PackageCycle72,3.0,32.0,758.0
PackageCycle73,3.0,17.0,794.0
PackageCycle74,3.0,132.0,2762.0
PackageCycle75,3.0,12.0,427.0
PackageCycle76,3.0,45.0,1290.0
PackageCycle77,3.0,12.0,448.0
PackageCycle78,3.0,4.0,53.0
PackageCycle79,3.0,7.0,245.0
PackageCycle80,3.0,18.0,582.0
PackageCycle81,2.0,52.0,2242.0
PackageCycle82,2.0,30.0,1227.0
PackageCycle83,2.0,65.0,1806.0
PackageCycle84,2.0,0.0,0.0
PackageCycle85,2.0,1.0,21.0

PackageCycle-All,463.0,2271.0,73023.0
