IssueType,Issue Size,#Changes,Tot Loc changed
UnhealthyInheritance1,31.0,690.0,25003.0
UnhealthyInheritance2,26.0,364.0,17014.0
UnhealthyInheritance3,20.0,345.0,16177.0
UnhealthyInheritance4,19.0,82.0,1882.0
UnhealthyInheritance5,18.0,142.0,4004.0
UnhealthyInheritance6,17.0,422.0,16376.0
UnhealthyInheritance7,13.0,467.0,18186.0
UnhealthyInheritance8,13.0,338.0,16807.0
UnhealthyInheritance9,11.0,207.0,3900.0
UnhealthyInheritance10,11.0,113.0,7532.0
UnhealthyInheritance11,9.0,78.0,27585.0
UnhealthyInheritance12,9.0,210.0,3527.0
UnhealthyInheritance13,9.0,121.0,1802.0
UnhealthyInheritance14,9.0,237.0,5337.0
UnhealthyInheritance15,8.0,59.0,1664.0
UnhealthyInheritance16,8.0,260.0,4737.0
UnhealthyInheritance17,7.0,101.0,1961.0
UnhealthyInheritance18,7.0,19.0,186.0
UnhealthyInheritance19,7.0,27.0,254.0
UnhealthyInheritance20,7.0,236.0,13926.0
UnhealthyInheritance21,7.0,62.0,27150.0
UnhealthyInheritance22,7.0,218.0,4708.0
UnhealthyInheritance23,7.0,24.0,480.0
UnhealthyInheritance24,6.0,26.0,327.0
UnhealthyInheritance25,6.0,139.0,10839.0
UnhealthyInheritance26,6.0,40.0,993.0
UnhealthyInheritance27,6.0,35.0,973.0
UnhealthyInheritance28,6.0,7.0,2.0
UnhealthyInheritance29,6.0,4.0,24.0
UnhealthyInheritance30,6.0,143.0,3013.0
UnhealthyInheritance31,5.0,56.0,731.0
UnhealthyInheritance32,5.0,79.0,1241.0
UnhealthyInheritance33,5.0,24.0,404.0
UnhealthyInheritance34,5.0,109.0,2689.0
UnhealthyInheritance35,5.0,99.0,1986.0
UnhealthyInheritance36,5.0,35.0,2856.0
UnhealthyInheritance37,5.0,25.0,818.0
UnhealthyInheritance38,5.0,118.0,2646.0
UnhealthyInheritance39,5.0,5.0,42.0
UnhealthyInheritance40,5.0,9.0,283.0
UnhealthyInheritance41,5.0,38.0,645.0
UnhealthyInheritance42,5.0,3.0,100.0
UnhealthyInheritance43,5.0,14.0,305.0
UnhealthyInheritance44,5.0,8.0,599.0
UnhealthyInheritance45,5.0,23.0,165.0
UnhealthyInheritance46,4.0,65.0,1424.0
UnhealthyInheritance47,4.0,47.0,1067.0
UnhealthyInheritance48,4.0,4.0,36.0
UnhealthyInheritance49,4.0,9.0,182.0
UnhealthyInheritance50,4.0,45.0,835.0
UnhealthyInheritance51,4.0,109.0,2851.0
UnhealthyInheritance52,4.0,4.0,80.0
UnhealthyInheritance53,4.0,3.0,16.0
UnhealthyInheritance54,4.0,6.0,270.0
UnhealthyInheritance55,4.0,24.0,704.0
UnhealthyInheritance56,4.0,23.0,364.0
UnhealthyInheritance57,4.0,93.0,2435.0
UnhealthyInheritance58,4.0,61.0,773.0
UnhealthyInheritance59,4.0,7.0,265.0
UnhealthyInheritance60,4.0,38.0,311.0
UnhealthyInheritance61,4.0,49.0,882.0
UnhealthyInheritance62,4.0,10.0,85.0
UnhealthyInheritance63,4.0,5.0,2.0
UnhealthyInheritance64,4.0,14.0,336.0
UnhealthyInheritance65,4.0,28.0,335.0
UnhealthyInheritance66,4.0,3.0,16.0
UnhealthyInheritance67,4.0,195.0,11899.0
UnhealthyInheritance68,4.0,36.0,993.0
UnhealthyInheritance69,4.0,7.0,230.0
UnhealthyInheritance70,4.0,4.0,484.0
UnhealthyInheritance71,4.0,17.0,190.0
UnhealthyInheritance72,3.0,12.0,606.0
