Index,Size,Fan-in,Fan-out,CrossingCenter
Crossing1,28,19,14,pulsar-broker.src.main.java.org.apache.pulsar.broker.service.BrokerService_java,
Crossing2,28,14,23,pulsar-broker.src.main.java.org.apache.pulsar.broker.service.persistent.PersistentTopic_java,
Crossing3,24,15,18,pulsar-client.src.main.java.org.apache.pulsar.client.impl.PulsarClientImpl_java,
Crossing4,20,15,4,pulsar-common.src.main.java.org.apache.pulsar.common.protocol.Commands_java,
Crossing5,19,15,6,pulsar-broker.src.main.java.org.apache.pulsar.broker.service.Topic_java,
Crossing6,19,12,10,pulsar-broker.src.main.java.org.apache.pulsar.broker.PulsarService_java,
Crossing7,18,6,16,pulsar-broker.src.main.java.org.apache.pulsar.broker.service.ServerCnx_java,
Crossing8,18,5,12,pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.PersistentTopicsBase_java,
Crossing9,18,14,9,pulsar-broker.src.main.java.org.apache.pulsar.broker.namespace.NamespaceService_java,
Crossing10,17,7,13,pulsar-client.src.main.java.org.apache.pulsar.client.impl.ConsumerImpl_java,
Crossing11,16,7,11,pulsar-broker.src.main.java.org.apache.pulsar.broker.service.nonpersistent.NonPersistentTopic_java,
Crossing12,16,13,5,pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.AdminResource_java,
Crossing13,15,6,10,pulsar-broker.src.main.java.org.apache.pulsar.broker.service.persistent.PersistentDispatcherMultipleConsumers_java,
Crossing14,14,5,11,pulsar-client.src.main.java.org.apache.pulsar.client.impl.ProducerImpl_java,
Crossing15,9,4,5,pulsar-sql.presto-pulsar.src.main.java.org.apache.pulsar.sql.presto.PulsarSchemaHandlers_java,
Crossing16,9,5,7,pulsar-broker.src.main.java.org.apache.pulsar.broker.service.Producer_java,
Crossing17,8,6,4,pulsar-broker.src.main.java.org.apache.pulsar.common.naming.NamespaceBundleSplitAlgorithm_java,

