Index,Size
UnhealthyInheritance1,31
UnhealthyInheritance2,26
UnhealthyInheritance3,20
UnhealthyInheritance4,19
UnhealthyInheritance5,18
UnhealthyInheritance6,17
UnhealthyInheritance7,13
UnhealthyInheritance8,13
UnhealthyInheritance9,11
UnhealthyInheritance10,11
UnhealthyInheritance11,9
UnhealthyInheritance12,9
UnhealthyInheritance13,9
UnhealthyInheritance14,9
UnhealthyInheritance15,8
UnhealthyInheritance16,8
UnhealthyInheritance17,7
UnhealthyInheritance18,7
UnhealthyInheritance19,7
UnhealthyInheritance20,7
UnhealthyInheritance21,7
UnhealthyInheritance22,7
UnhealthyInheritance23,7
UnhealthyInheritance24,6
UnhealthyInheritance25,6
UnhealthyInheritance26,6
UnhealthyInheritance27,6
UnhealthyInheritance28,6
UnhealthyInheritance29,6
UnhealthyInheritance30,6
UnhealthyInheritance31,5
UnhealthyInheritance32,5
UnhealthyInheritance33,5
UnhealthyInheritance34,5
UnhealthyInheritance35,5
UnhealthyInheritance36,5
UnhealthyInheritance37,5
UnhealthyInheritance38,5
UnhealthyInheritance39,5
UnhealthyInheritance40,5
UnhealthyInheritance41,5
UnhealthyInheritance42,5
UnhealthyInheritance43,5
UnhealthyInheritance44,5
UnhealthyInheritance45,5
UnhealthyInheritance46,4
UnhealthyInheritance47,4
UnhealthyInheritance48,4
UnhealthyInheritance49,4
UnhealthyInheritance50,4
UnhealthyInheritance51,4
UnhealthyInheritance52,4
UnhealthyInheritance53,4
UnhealthyInheritance54,4
UnhealthyInheritance55,4
UnhealthyInheritance56,4
UnhealthyInheritance57,4
UnhealthyInheritance58,4
UnhealthyInheritance59,4
UnhealthyInheritance60,4
UnhealthyInheritance61,4
UnhealthyInheritance62,4
UnhealthyInheritance63,4
UnhealthyInheritance64,4
UnhealthyInheritance65,4
UnhealthyInheritance66,4
UnhealthyInheritance67,4
UnhealthyInheritance68,4
UnhealthyInheritance69,4
UnhealthyInheritance70,4
UnhealthyInheritance71,4
UnhealthyInheritance72,3
UnhealthyInheritance73,3
UnhealthyInheritance74,3
UnhealthyInheritance75,3
UnhealthyInheritance76,3
UnhealthyInheritance77,3
UnhealthyInheritance78,3
UnhealthyInheritance79,3
UnhealthyInheritance80,3
UnhealthyInheritance81,3
UnhealthyInheritance82,3
UnhealthyInheritance83,3
UnhealthyInheritance84,3
UnhealthyInheritance85,3
UnhealthyInheritance86,3
UnhealthyInheritance87,3
UnhealthyInheritance88,3
UnhealthyInheritance89,3
UnhealthyInheritance90,3
UnhealthyInheritance91,3
UnhealthyInheritance92,3
UnhealthyInheritance93,3
UnhealthyInheritance94,3
UnhealthyInheritance95,3
UnhealthyInheritance96,3
UnhealthyInheritance97,3
UnhealthyInheritance98,3
UnhealthyInheritance99,3
UnhealthyInheritance100,3
UnhealthyInheritance101,3
UnhealthyInheritance102,3
UnhealthyInheritance103,3
UnhealthyInheritance104,3
UnhealthyInheritance105,3
UnhealthyInheritance106,3
UnhealthyInheritance107,3
UnhealthyInheritance108,3
UnhealthyInheritance109,3
UnhealthyInheritance110,3
UnhealthyInheritance111,3
UnhealthyInheritance112,3
UnhealthyInheritance113,3
UnhealthyInheritance114,3
UnhealthyInheritance115,3
UnhealthyInheritance116,3
UnhealthyInheritance117,3
UnhealthyInheritance118,3
UnhealthyInheritance119,3
UnhealthyInheritance120,3
UnhealthyInheritance121,3
UnhealthyInheritance122,2
UnhealthyInheritance123,2
UnhealthyInheritance124,2
UnhealthyInheritance125,2
UnhealthyInheritance126,2

