"FileName","ChangeChurn"
"pulsar-common.src.main.java.org.apache.pulsar.common.api.proto.PulsarApi_java","22908"
"content.swagger.master.swagger_json","16739"
"site2.website.static.swagger.swagger_json","15682"
"content.swagger.2_5_0-SNAPSHOT.swagger_json","15083"
"content.docs.latest.reference.RestApi.index_html","15010"
"content.swagger.2_6_0-SNAPSHOT.swagger_json","14473"
"content.docs.latest.reference.CliTools.index_html","12115"
"content.swagger.2_4_0-SNAPSHOT.swagger_json","10707"
"content.api.admin.2_6_0-SNAPSHOT.org.apache.pulsar.client.admin.class-use.PulsarAdminException_html","10311"
"site2.website.static.swagger.2_5_0.swagger_json","10285"
"content.swagger.2_5_0.swagger_json","10285"
"content.swagger.2_4_2.swagger_json","10013"
"site2.website.static.swagger.2_4_2.swagger_json","10013"
"site2.website.static.swagger.2_4_1.swagger_json","9741"
"content.swagger.2_4_1.swagger_json","9741"
"site2.website.static.swagger.2_4_0.swagger_json","9698"
"content.swagger.2_4_0.swagger_json","9698"
"content.api.pulsar-broker.2_6_0-SNAPSHOT.index-all_html","9619"
"pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.PersistentTopicsBase_java","9248"
"content.api.pulsar-broker.2_5_0-SNAPSHOT.index-all_html","9193"
"content.api.pulsar-broker.2_6_0-SNAPSHOT.org.apache.pulsar.broker.service.class-use.Consumer_html","8449"
"site2.website.static.swagger.2_3_1.swagger_json","8191"
"site2.website.static.swagger.2_3_0.swagger_json","8191"
"site2.website.static.swagger.2_3_2.swagger_json","8191"
"content.swagger.2_3_1.swagger_json","8191"
"content.swagger.2_3_2.swagger_json","8191"
"content.swagger.2_3_0.swagger_json","8191"
"content.api.pulsar-broker.2_4_2.index-all_html","8088"
"content.api.pulsar-broker.2_4_1.index-all_html","8016"
"content.api.pulsar-broker.2_4_0.index-all_html","8006"
"content.api.admin.2_6_0-SNAPSHOT.org.apache.pulsar.client.admin.internal.NamespacesImpl_html","7853"
"content.api.pulsar-broker.2_3_2.index-all_html","7528"
"content.api.pulsar-broker.2_3_1.index-all_html","7524"
"content.api.pulsar-broker.2_3_0.index-all_html","7482"
"content.api.admin.2_6_0-SNAPSHOT.org.apache.pulsar.client.admin.Namespaces_html","7395"
"content.swagger.master.swaggerfunctions_json","7355"
"content.api.pulsar-broker.2_2_1.index-all_html","7223"
"content.api.pulsar-broker.2_2_0.index-all_html","7215"
"content.docs.latest.project.BinaryProtocol.index_html","6957"
"content.api.python.2_6_0-SNAPSHOT.index_html","6566"
"content.swagger.2_5_0-SNAPSHOT.swaggerfunctions_json","6373"
"content.api.python.2_5_0-SNAPSHOT.index_html","6208"
"content.tools.pulsar-admin.2_6_0-SNAPSHOT.index_html","6192"
"content.api.admin.2_5_0-SNAPSHOT.org.apache.pulsar.client.admin.class-use.PulsarAdminException_html","5763"
"site2.website.versioned_docs.version-2_4_0.reference-pulsar-admin_md","5104"
"content.swagger.2_6_0-SNAPSHOT.swaggerfunctions_json","5069"
"content.swagger.swagger_json","5051"
"content.api.admin.2_6_0-SNAPSHOT.index-all_html","4728"
"site2.website.versioned_docs.version-2_3_1.reference-pulsar-admin_md","4516"
"content.docs.zh-CN.io-use.index_html","4190"
"content.docs.zh-CN.io-use_html","4190"
"content.swagger.swaggerfunctions_json","4184"
"site2.website.versioned_docs.version-2_4_1.reference-pulsar-admin_md","4174"
"content.api.python.2_4_2.index_html","3996"
"content.docs.latest.reference.Configuration.index_html","3994"
"content.api.python.2_4_0.html.pulsar.index_html","3971"
"content.api.python.2_4_1.html.pulsar.index_html","3971"
"content.api.pulsar-broker.2_5_0-SNAPSHOT.org.apache.pulsar.broker.service.class-use.Consumer_html","3943"
"content.api.client.2_2_0.index-all_html","3929"
"content.api.python.2_3_2.html.pulsar.index_html","3824"
"content.api.python.2_3_1.html.pulsar.index_html","3824"
"content.api.python.2_3_0.html.pulsar.index_html","3761"
"content.api.admin.2_6_0-SNAPSHOT.org.apache.pulsar.client.admin.internal.TopicsImpl_html","3713"
"content.docs.latest.getting-started.ConceptsAndArchitecture.index_html","3602"
"content.docs.ja.2_3_2.pulsar-admin.index_html","3594"
"content.docs.ja.2_3_2.pulsar-admin_html","3594"
"content.api.admin.2_6_0-SNAPSHOT.org.apache.pulsar.client.admin.Topics_html","3586"
"content.docs.ja.2_4_0.pulsar-admin.index_html","3562"
"content.docs.ja.2_4_0.pulsar-admin_html","3562"
"site2.website.static.swagger.2_3_2.swaggerfunctions_json","3431"
"content.swagger.2_3_2.swaggerfunctions_json","3431"
"content.swagger.2_3_0.swaggerfunctions_json","3431"
"content.swagger.2_3_1.swaggerfunctions_json","3431"
"site2.website.static.swagger.2_3_0.swaggerfunctions_json","3431"
"site2.website.static.swagger.2_3_1.swaggerfunctions_json","3431"
"pulsar-common.src.main.java.org.apache.pulsar.common.api.proto.PulsarMarkers_java","3357"
"content.api.python.2_2_1.html.pulsar.index_html","3356"
"content.api.python.2_2_0.html.pulsar.index_html","3356"
"content.api.client.2_6_0-SNAPSHOT.index-all_html","3326"
"content.docs.latest.cookbooks.PartitionedTopics.index_html","3313"
"content.api.admin.2_5_0-SNAPSHOT.org.apache.pulsar.client.admin.internal.NamespacesImpl_html","3285"
"content.api.admin.2_4_2.org.apache.pulsar.client.admin.class-use.PulsarAdminException_html","3224"
"content.docs.ja.2_3_1.pulsar-admin.index_html","3188"
"content.docs.ja.2_3_1.pulsar-admin_html","3188"
"content.api.pulsar-broker.2_6_0-SNAPSHOT.org.apache.pulsar.broker.web.class-use.PulsarWebResource_html","3172"
"content.api.admin.2_4_1.org.apache.pulsar.client.admin.class-use.PulsarAdminException_html","3156"
"content.api.admin.2_4_0.org.apache.pulsar.client.admin.class-use.PulsarAdminException_html","3130"
"content.docs.latest.security.authorization.index_html","3112"
"content.api.admin.2_5_0-SNAPSHOT.org.apache.pulsar.client.admin.Namespaces_html","3049"
"content.docs.zh-CN.2_4_1.io-use_html","3044"
