IssueType,Issue Size,#Changes,Tot Loc changed
Clique1,25.0,25.0,891.0
Clique2,18.0,37.0,655.0
Clique3,15.0,83.0,1498.0
Clique4,12.0,21.0,315.0
Clique5,11.0,31.0,208.0
Clique6,10.0,25.0,473.0
Clique7,6.0,20.0,438.0
Clique8,5.0,0.0,0.0
Clique9,5.0,10.0,269.0
Clique10,5.0,10.0,24.0
Clique11,5.0,26.0,481.0
Clique12,4.0,5.0,37.0
Clique13,4.0,0.0,0.0
Clique14,4.0,1.0,2.0
Clique15,4.0,31.0,519.0
Clique16,4.0,0.0,0.0
Clique17,3.0,4.0,22.0
Clique18,3.0,2.0,24.0
Clique19,3.0,6.0,36.0
Clique20,3.0,29.0,728.0
Clique21,3.0,68.0,1857.0
Clique22,3.0,1.0,2.0
Clique23,3.0,3.0,9.0
Clique24,3.0,33.0,506.0
Clique25,3.0,1.0,3.0
Clique26,3.0,4.0,44.0
Clique27,3.0,19.0,329.0
Clique28,3.0,19.0,1338.0
Clique29,2.0,4.0,37.0
Clique30,2.0,4.0,41.0
Clique31,2.0,0.0,0.0
Clique32,2.0,4.0,12.0
Clique33,2.0,3.0,20.0
Clique34,2.0,6.0,496.0
Clique35,2.0,2.0,2.0
Clique36,2.0,8.0,26.0
Clique37,2.0,2.0,2.0
Clique38,2.0,6.0,14.0
Clique39,2.0,3.0,31.0
Clique40,2.0,0.0,0.0
Clique41,2.0,1.0,9.0
Clique42,2.0,16.0,248.0
Clique43,2.0,34.0,1276.0
Clique44,2.0,13.0,121.0
Clique45,2.0,3.0,20.0
Clique46,2.0,23.0,496.0
Clique47,2.0,0.0,0.0
Clique48,2.0,4.0,29.0
Clique49,2.0,2.0,2.0
Clique50,2.0,0.0,0.0
Clique51,2.0,3.0,11.0
Clique52,2.0,0.0,0.0
Clique53,2.0,16.0,392.0
Clique54,2.0,6.0,60.0
Clique55,2.0,4.0,4.0
Clique56,2.0,6.0,80.0
Clique57,2.0,11.0,212.0
Clique58,2.0,2.0,4.0
Clique59,2.0,4.0,4.0
Clique60,2.0,2.0,4.0
Clique61,2.0,6.0,119.0
Clique62,2.0,1.0,3.0
Clique63,2.0,10.0,152.0
Clique64,2.0,3.0,14.0
Clique65,2.0,0.0,0.0
Clique66,2.0,4.0,44.0
Clique67,2.0,2.0,15.0
Clique68,2.0,0.0,0.0
Clique69,2.0,9.0,221.0

Clique-All,255.0,741.0,14929.0
