IssueType,Issue Size,#Changes,Tot Loc changed
ModularityViolation1,44.0,180.0,1907.0
ModularityViolation2,33.0,173.0,2035.0
ModularityViolation3,26.0,134.0,1772.0
ModularityViolation4,24.0,248.0,5561.0
ModularityViolation5,23.0,61.0,471.0
ModularityViolation6,14.0,94.0,1800.0
ModularityViolation7,13.0,57.0,560.0
ModularityViolation8,13.0,83.0,2473.0
ModularityViolation9,12.0,41.0,638.0
ModularityViolation10,12.0,138.0,3473.0
ModularityViolation11,10.0,34.0,287.0
ModularityViolation12,8.0,35.0,941.0
ModularityViolation13,7.0,67.0,1088.0
ModularityViolation14,7.0,14.0,386.0
ModularityViolation15,7.0,61.0,1072.0
ModularityViolation16,7.0,46.0,601.0
ModularityViolation17,7.0,50.0,541.0
ModularityViolation18,7.0,95.0,3585.0
ModularityViolation19,7.0,44.0,599.0
ModularityViolation20,7.0,38.0,591.0
ModularityViolation21,6.0,25.0,93.0
ModularityViolation22,6.0,29.0,293.0
ModularityViolation23,5.0,69.0,2478.0
ModularityViolation24,5.0,50.0,1755.0
ModularityViolation25,5.0,25.0,447.0
ModularityViolation26,5.0,12.0,23.0
ModularityViolation27,5.0,49.0,580.0
ModularityViolation28,4.0,19.0,208.0
ModularityViolation29,4.0,11.0,53.0
ModularityViolation30,4.0,22.0,173.0
ModularityViolation31,4.0,11.0,630.0
ModularityViolation32,4.0,64.0,1584.0
ModularityViolation33,4.0,22.0,724.0
ModularityViolation34,4.0,19.0,141.0
ModularityViolation35,4.0,41.0,1838.0
ModularityViolation36,4.0,17.0,59.0
ModularityViolation37,3.0,11.0,32.0
ModularityViolation38,3.0,8.0,249.0
ModularityViolation39,3.0,12.0,96.0
ModularityViolation40,3.0,34.0,782.0
ModularityViolation41,3.0,15.0,121.0
ModularityViolation42,3.0,15.0,236.0
ModularityViolation43,3.0,12.0,142.0
ModularityViolation44,3.0,8.0,42.0
ModularityViolation45,3.0,19.0,229.0
ModularityViolation46,2.0,5.0,61.0
ModularityViolation47,2.0,9.0,36.0
ModularityViolation48,2.0,6.0,36.0
ModularityViolation49,2.0,18.0,410.0
ModularityViolation50,2.0,6.0,28.0
ModularityViolation51,2.0,4.0,15.0
ModularityViolation52,2.0,22.0,356.0
ModularityViolation53,2.0,7.0,104.0
ModularityViolation54,2.0,12.0,108.0
ModularityViolation55,2.0,5.0,84.0
ModularityViolation56,2.0,4.0,8.0
ModularityViolation57,2.0,6.0,18.0
ModularityViolation58,2.0,6.0,47.0
ModularityViolation59,2.0,4.0,21.0
ModularityViolation60,2.0,10.0,293.0
ModularityViolation61,2.0,9.0,80.0
ModularityViolation62,2.0,11.0,69.0
ModularityViolation63,2.0,10.0,164.0
ModularityViolation64,2.0,14.0,80.0
ModularityViolation65,2.0,7.0,44.0
ModularityViolation66,2.0,9.0,40.0
ModularityViolation67,2.0,4.0,88.0
ModularityViolation68,2.0,25.0,1125.0
ModularityViolation69,2.0,9.0,162.0
ModularityViolation70,2.0,12.0,233.0
ModularityViolation71,2.0,13.0,92.0
ModularityViolation72,2.0,10.0,240.0
ModularityViolation73,2.0,4.0,134.0
ModularityViolation74,2.0,8.0,126.0
ModularityViolation75,2.0,8.0,29.0
ModularityViolation76,2.0,8.0,52.0
ModularityViolation77,2.0,12.0,65.0
ModularityViolation78,2.0,10.0,325.0
ModularityViolation79,2.0,10.0,113.0

ModularityViolation-All,325.0,1756.0,30938.0
