IssueType,Issue Size,#Changes,Tot Loc changed
UnhealthyInheritance1,84.0,290.0,4851.0
UnhealthyInheritance2,72.0,174.0,3065.0
UnhealthyInheritance3,49.0,143.0,2003.0
UnhealthyInheritance4,46.0,166.0,3015.0
UnhealthyInheritance5,45.0,5.0,26.0
UnhealthyInheritance6,45.0,140.0,2361.0
UnhealthyInheritance7,42.0,121.0,1778.0
UnhealthyInheritance8,36.0,54.0,1007.0
UnhealthyInheritance9,32.0,71.0,582.0
UnhealthyInheritance10,28.0,49.0,457.0
UnhealthyInheritance11,28.0,110.0,3833.0
UnhealthyInheritance12,25.0,38.0,327.0
UnhealthyInheritance13,24.0,35.0,332.0
UnhealthyInheritance14,24.0,44.0,568.0
UnhealthyInheritance15,22.0,41.0,257.0
UnhealthyInheritance16,22.0,22.0,265.0
UnhealthyInheritance17,21.0,11.0,522.0
UnhealthyInheritance18,21.0,30.0,303.0
UnhealthyInheritance19,21.0,19.0,65.0
UnhealthyInheritance20,20.0,72.0,2354.0
UnhealthyInheritance21,17.0,31.0,225.0
UnhealthyInheritance22,17.0,18.0,81.0
UnhealthyInheritance23,17.0,29.0,184.0
UnhealthyInheritance24,17.0,26.0,203.0
UnhealthyInheritance25,16.0,15.0,61.0
UnhealthyInheritance26,16.0,47.0,521.0
UnhealthyInheritance27,15.0,18.0,154.0
UnhealthyInheritance28,15.0,30.0,461.0
UnhealthyInheritance29,15.0,56.0,2755.0
UnhealthyInheritance30,15.0,19.0,214.0
UnhealthyInheritance31,15.0,31.0,570.0
UnhealthyInheritance32,15.0,20.0,26.0
UnhealthyInheritance33,14.0,20.0,62.0
UnhealthyInheritance34,13.0,0.0,0.0
UnhealthyInheritance35,13.0,6.0,6.0
UnhealthyInheritance36,13.0,16.0,22.0
UnhealthyInheritance37,13.0,16.0,140.0
UnhealthyInheritance38,12.0,35.0,297.0
UnhealthyInheritance39,12.0,23.0,508.0
UnhealthyInheritance40,12.0,19.0,56.0
UnhealthyInheritance41,12.0,9.0,246.0
UnhealthyInheritance42,12.0,13.0,435.0
UnhealthyInheritance43,12.0,26.0,301.0
UnhealthyInheritance44,12.0,40.0,605.0
UnhealthyInheritance45,12.0,19.0,378.0
UnhealthyInheritance46,12.0,24.0,283.0
UnhealthyInheritance47,12.0,18.0,355.0
UnhealthyInheritance48,12.0,12.0,125.0
UnhealthyInheritance49,11.0,12.0,103.0
UnhealthyInheritance50,11.0,24.0,82.0
UnhealthyInheritance51,11.0,19.0,166.0
UnhealthyInheritance52,11.0,34.0,255.0
UnhealthyInheritance53,11.0,2.0,2.0
UnhealthyInheritance54,11.0,31.0,163.0
UnhealthyInheritance55,11.0,8.0,242.0
UnhealthyInheritance56,11.0,19.0,337.0
UnhealthyInheritance57,11.0,19.0,248.0
UnhealthyInheritance58,10.0,10.0,57.0
UnhealthyInheritance59,10.0,30.0,635.0
UnhealthyInheritance60,10.0,10.0,39.0
UnhealthyInheritance61,10.0,14.0,96.0
UnhealthyInheritance62,10.0,59.0,1038.0
UnhealthyInheritance63,10.0,8.0,61.0
UnhealthyInheritance64,10.0,15.0,246.0
UnhealthyInheritance65,10.0,13.0,45.0
UnhealthyInheritance66,9.0,55.0,723.0
UnhealthyInheritance67,9.0,38.0,352.0
UnhealthyInheritance68,9.0,8.0,117.0
UnhealthyInheritance69,9.0,2.0,2.0
UnhealthyInheritance70,9.0,0.0,0.0
UnhealthyInheritance71,9.0,19.0,87.0
UnhealthyInheritance72,9.0,6.0,26.0
UnhealthyInheritance73,9.0,28.0,425.0
UnhealthyInheritance74,9.0,35.0,501.0
UnhealthyInheritance75,9.0,55.0,970.0
UnhealthyInheritance76,9.0,25.0,189.0
UnhealthyInheritance77,9.0,6.0,55.0
