Index,Size
Clique1,25
Clique2,18
Clique3,15
Clique4,12
Clique5,11
Clique6,10
Clique7,6
Clique8,5
Clique9,5
Clique10,5
Clique11,5
Clique12,4
Clique13,4
Clique14,4
Clique15,4
Clique16,4
Clique17,3
Clique18,3
Clique19,3
Clique20,3
Clique21,3
Clique22,3
Clique23,3
Clique24,3
Clique25,3
Clique26,3
Clique27,3
Clique28,3
Clique29,2
Clique30,2
Clique31,2
Clique32,2
Clique33,2
Clique34,2
Clique35,2
Clique36,2
Clique37,2
Clique38,2
Clique39,2
Clique40,2
Clique41,2
Clique42,2
Clique43,2
Clique44,2
Clique45,2
Clique46,2
Clique47,2
Clique48,2
Clique49,2
Clique50,2
Clique51,2
Clique52,2
Clique53,2
Clique54,2
Clique55,2
Clique56,2
Clique57,2
Clique58,2
Clique59,2
Clique60,2
Clique61,2
Clique62,2
Clique63,2
Clique64,2
Clique65,2
Clique66,2
Clique67,2
Clique68,2
Clique69,2

