Index,Size
ModularityViolation1,44
ModularityViolation2,33
ModularityViolation3,26
ModularityViolation4,24
ModularityViolation5,23
ModularityViolation6,14
ModularityViolation7,13
ModularityViolation8,13
ModularityViolation9,12
ModularityViolation10,12
ModularityViolation11,10
ModularityViolation12,8
ModularityViolation13,7
ModularityViolation14,7
ModularityViolation15,7
ModularityViolation16,7
ModularityViolation17,7
ModularityViolation18,7
ModularityViolation19,7
ModularityViolation20,7
ModularityViolation21,6
ModularityViolation22,6
ModularityViolation23,5
ModularityViolation24,5
ModularityViolation25,5
ModularityViolation26,5
ModularityViolation27,5
ModularityViolation28,4
ModularityViolation29,4
ModularityViolation30,4
ModularityViolation31,4
ModularityViolation32,4
ModularityViolation33,4
ModularityViolation34,4
ModularityViolation35,4
ModularityViolation36,4
ModularityViolation37,3
ModularityViolation38,3
ModularityViolation39,3
ModularityViolation40,3
ModularityViolation41,3
ModularityViolation42,3
ModularityViolation43,3
ModularityViolation44,3
ModularityViolation45,3
ModularityViolation46,2
ModularityViolation47,2
ModularityViolation48,2
ModularityViolation49,2
ModularityViolation50,2
ModularityViolation51,2
ModularityViolation52,2
ModularityViolation53,2
ModularityViolation54,2
ModularityViolation55,2
ModularityViolation56,2
ModularityViolation57,2
ModularityViolation58,2
ModularityViolation59,2
ModularityViolation60,2
ModularityViolation61,2
ModularityViolation62,2
ModularityViolation63,2
ModularityViolation64,2
ModularityViolation65,2
ModularityViolation66,2
ModularityViolation67,2
ModularityViolation68,2
ModularityViolation69,2
ModularityViolation70,2
ModularityViolation71,2
ModularityViolation72,2
ModularityViolation73,2
ModularityViolation74,2
ModularityViolation75,2
ModularityViolation76,2
ModularityViolation77,2
ModularityViolation78,2
ModularityViolation79,2

