Index,Size
UnhealthyInheritance1,84
UnhealthyInheritance2,72
UnhealthyInheritance3,49
UnhealthyInheritance4,46
UnhealthyInheritance5,45
UnhealthyInheritance6,45
UnhealthyInheritance7,42
UnhealthyInheritance8,36
UnhealthyInheritance9,32
UnhealthyInheritance10,28
UnhealthyInheritance11,28
UnhealthyInheritance12,25
UnhealthyInheritance13,24
UnhealthyInheritance14,24
UnhealthyInheritance15,22
UnhealthyInheritance16,22
UnhealthyInheritance17,21
UnhealthyInheritance18,21
UnhealthyInheritance19,21
UnhealthyInheritance20,20
UnhealthyInheritance21,17
UnhealthyInheritance22,17
UnhealthyInheritance23,17
UnhealthyInheritance24,17
UnhealthyInheritance25,16
UnhealthyInheritance26,16
UnhealthyInheritance27,15
UnhealthyInheritance28,15
UnhealthyInheritance29,15
UnhealthyInheritance30,15
UnhealthyInheritance31,15
UnhealthyInheritance32,15
UnhealthyInheritance33,14
UnhealthyInheritance34,13
UnhealthyInheritance35,13
UnhealthyInheritance36,13
UnhealthyInheritance37,13
UnhealthyInheritance38,12
UnhealthyInheritance39,12
UnhealthyInheritance40,12
UnhealthyInheritance41,12
UnhealthyInheritance42,12
UnhealthyInheritance43,12
UnhealthyInheritance44,12
UnhealthyInheritance45,12
UnhealthyInheritance46,12
UnhealthyInheritance47,12
UnhealthyInheritance48,12
UnhealthyInheritance49,11
UnhealthyInheritance50,11
UnhealthyInheritance51,11
UnhealthyInheritance52,11
UnhealthyInheritance53,11
UnhealthyInheritance54,11
UnhealthyInheritance55,11
UnhealthyInheritance56,11
UnhealthyInheritance57,11
UnhealthyInheritance58,10
UnhealthyInheritance59,10
UnhealthyInheritance60,10
UnhealthyInheritance61,10
UnhealthyInheritance62,10
UnhealthyInheritance63,10
UnhealthyInheritance64,10
UnhealthyInheritance65,10
UnhealthyInheritance66,9
UnhealthyInheritance67,9
UnhealthyInheritance68,9
UnhealthyInheritance69,9
UnhealthyInheritance70,9
UnhealthyInheritance71,9
UnhealthyInheritance72,9
UnhealthyInheritance73,9
UnhealthyInheritance74,9
UnhealthyInheritance75,9
UnhealthyInheritance76,9
UnhealthyInheritance77,9
UnhealthyInheritance78,9
UnhealthyInheritance79,9
UnhealthyInheritance80,9
UnhealthyInheritance81,9
UnhealthyInheritance82,9
UnhealthyInheritance83,9
UnhealthyInheritance84,9
UnhealthyInheritance85,9
UnhealthyInheritance86,9
UnhealthyInheritance87,9
UnhealthyInheritance88,9
UnhealthyInheritance89,9
UnhealthyInheritance90,9
UnhealthyInheritance91,9
UnhealthyInheritance92,9
UnhealthyInheritance93,8
UnhealthyInheritance94,8
UnhealthyInheritance95,8
UnhealthyInheritance96,8
UnhealthyInheritance97,8
UnhealthyInheritance98,8
UnhealthyInheritance99,8
UnhealthyInheritance100,8
UnhealthyInheritance101,8
UnhealthyInheritance102,8
UnhealthyInheritance103,8
UnhealthyInheritance104,8
UnhealthyInheritance105,8
UnhealthyInheritance106,8
UnhealthyInheritance107,8
UnhealthyInheritance108,8
UnhealthyInheritance109,8
UnhealthyInheritance110,8
UnhealthyInheritance111,8
UnhealthyInheritance112,8
UnhealthyInheritance113,8
UnhealthyInheritance114,8
UnhealthyInheritance115,8
UnhealthyInheritance116,7
UnhealthyInheritance117,7
UnhealthyInheritance118,7
UnhealthyInheritance119,7
UnhealthyInheritance120,7
UnhealthyInheritance121,7
UnhealthyInheritance122,7
UnhealthyInheritance123,7
UnhealthyInheritance124,7
UnhealthyInheritance125,7
UnhealthyInheritance126,7
UnhealthyInheritance127,7
UnhealthyInheritance128,7
UnhealthyInheritance129,7
UnhealthyInheritance130,7
UnhealthyInheritance131,7
UnhealthyInheritance132,7
UnhealthyInheritance133,7
UnhealthyInheritance134,7
UnhealthyInheritance135,7
UnhealthyInheritance136,7
UnhealthyInheritance137,6
UnhealthyInheritance138,6
UnhealthyInheritance139,6
UnhealthyInheritance140,6
UnhealthyInheritance141,6
UnhealthyInheritance142,6
UnhealthyInheritance143,6
UnhealthyInheritance144,6
UnhealthyInheritance145,6
UnhealthyInheritance146,6
UnhealthyInheritance147,6
UnhealthyInheritance148,6
UnhealthyInheritance149,6
UnhealthyInheritance150,6
UnhealthyInheritance151,6
UnhealthyInheritance152,6
UnhealthyInheritance153,6
UnhealthyInheritance154,6
UnhealthyInheritance155,6
UnhealthyInheritance156,6
UnhealthyInheritance157,6
UnhealthyInheritance158,6
UnhealthyInheritance159,6
UnhealthyInheritance160,6
UnhealthyInheritance161,6
UnhealthyInheritance162,6
UnhealthyInheritance163,6
UnhealthyInheritance164,6
UnhealthyInheritance165,6
UnhealthyInheritance166,6
UnhealthyInheritance167,6
UnhealthyInheritance168,6
UnhealthyInheritance169,6
UnhealthyInheritance170,6
UnhealthyInheritance171,6
UnhealthyInheritance172,6
UnhealthyInheritance173,6
UnhealthyInheritance174,6
UnhealthyInheritance175,6
UnhealthyInheritance176,6
UnhealthyInheritance177,6
UnhealthyInheritance178,6
UnhealthyInheritance179,6
UnhealthyInheritance180,6
UnhealthyInheritance181,6
UnhealthyInheritance182,6
UnhealthyInheritance183,6
UnhealthyInheritance184,6
UnhealthyInheritance185,6
UnhealthyInheritance186,6
UnhealthyInheritance187,6
UnhealthyInheritance188,6
UnhealthyInheritance189,5
UnhealthyInheritance190,5
UnhealthyInheritance191,5
UnhealthyInheritance192,5
