RootIndex,LeadingFile,Size,Coverage,CoverUpto
root 1, spring-core/src/main/java/org/springframework/util/CollectionUtils.java, 196, 0.596939, 0.112717 
root 2, spring-web/src/main/java/org/springframework/http/MediaType.java, 200, 0.565000, 0.188825 
root 3, spring-beans/src/main/java/org/springframework/beans/factory/InitializingBean.java, 198, 0.419192, 0.248555 
root 4, spring-core/src/main/java/org/springframework/util/ReflectionUtils.java, 139, 0.467626, 0.296724 
root 5, spring-beans/src/main/java/org/springframework/beans/factory/BeanFactory.java, 198, 0.348485, 0.339114 
root 6, spring-core/src/main/java/org/springframework/core/io/buffer/DataBuffer.java, 126, 0.563492, 0.377649 
root 7, spring-web/src/main/java/org/springframework/http/HttpMethod.java, 173, 0.416185, 0.404624 
root 8, spring-messaging/src/main/java/org/springframework/messaging/Message.java, 151, 0.245033, 0.428709 
root 9, spring-beans/src/main/java/org/springframework/beans/factory/config/BeanDefinition.java, 146, 0.260274, 0.451830 
root 10, spring-tx/src/main/java/org/springframework/dao/DataAccessException.java, 65, 0.430769, 0.471098 
root 11, spring-core/src/main/java/org/springframework/util/MultiValueMap.java, 169, 0.538462, 0.489403 
root 12, spring-webmvc/src/main/java/org/springframework/web/servlet/resource/ResourceResolverChain.java, 17, 1.000000, 0.504817 
root 13, spring-core/src/main/java/org/springframework/core/ResolvableType.java, 145, 0.517241, 0.519268 
root 14, spring-core/src/main/java/org/springframework/asm/Opcodes.java, 37, 0.486486, 0.533719 
root 15, spring-web/src/main/java/org/springframework/web/util/WebUtils.java, 58, 0.637931, 0.546243 
root 16, spring-web/src/main/java/org/springframework/http/HttpStatus.java, 150, 0.506667, 0.558767 
root 17, spring-webmvc/src/main/java/org/springframework/web/servlet/view/AbstractView.java, 23, 0.826087, 0.570328 
root 18, spring-jdbc/src/main/java/org/springframework/jdbc/support/JdbcUtils.java, 23, 0.652174, 0.579961 
root 19, spring-core/src/main/java/org/springframework/core/Ordered.java, 98, 0.285714, 0.589595 
root 20, spring-websocket/src/main/java/org/springframework/web/socket/WebSocketHandler.java, 75, 0.320000, 0.599229 
root 21, spring-web/src/main/java/org/springframework/web/context/request/NativeWebRequest.java, 88, 0.329545, 0.607900 
root 22, spring-core/src/main/java/org/springframework/core/annotation/AliasFor.java, 46, 0.217391, 0.616570 
root 23, spring-web/src/main/java/org/springframework/http/codec/HttpMessageWriter.java, 31, 0.612903, 0.625241 
root 24, spring-beans/src/main/java/org/springframework/beans/factory/DisposableBean.java, 73, 0.410959, 0.632948 
root 25, spring-core/src/main/java/org/springframework/core/annotation/MergedAnnotation.java, 32, 0.718750, 0.640655 
root 26, spring-context/src/main/java/org/springframework/cache/Cache.java, 83, 0.253012, 0.648362 
root 27, spring-webflux/src/main/java/org/springframework/web/reactive/socket/HandshakeInfo.java, 24, 0.416667, 0.656069 
root 28, spring-tx/src/main/java/org/springframework/transaction/TransactionDefinition.java, 43, 0.488372, 0.663776 
root 29, spring-core/src/main/java/org/springframework/util/PathMatcher.java, 32, 0.562500, 0.670520 
root 30, spring-webmvc/src/main/java/org/springframework/web/servlet/tags/RequestContextAwareTag.java, 14, 0.642857, 0.677264 
root 31, spring-core/src/main/java/org/springframework/util/StreamUtils.java, 50, 0.440000, 0.684008 
root 32, spring-aop/src/main/java/org/springframework/aop/ClassFilter.java, 36, 0.250000, 0.690751 
root 33, spring-context/src/main/java/org/springframework/cache/interceptor/CacheResolver.java, 23, 0.347826, 0.696532 
root 34, spring-beans/src/main/java/org/springframework/beans/BeansException.java, 141, 0.319149, 0.702312 
root 35, spring-aop/src/main/java/org/aopalliance/intercept/MethodInvocation.java, 72, 0.250000, 0.708092 
root 36, spring-context/src/main/java/org/springframework/format/Formatter.java, 27, 0.259259, 0.713873 
root 37, spring-core/src/main/java/org/springframework/core/io/ResourceLoader.java, 65, 0.400000, 0.719653 
root 38, spring-context-indexer/src/main/java/org/springframework/context/index/processor/TypeHelper.java, 5, 1.000000, 0.724470 
root 39, spring-webmvc/src/main/java/org/springframework/web/servlet/tags/form/TagWriter.java, 24, 0.500000, 0.729287 
root 40, spring-oxm/src/main/java/org/springframework/oxm/XmlMappingException.java, 13, 0.692308, 0.734104 
root 41, spring-webmvc/src/main/java/org/springframework/web/servlet/support/RequestContextUtils.java, 21, 0.714286, 0.738921 
root 42, spring-web/src/main/java/org/springframework/http/server/PathContainer.java, 40, 0.450000, 0.743738 
root 43, spring-jdbc/src/main/java/org/springframework/jdbc/core/SqlParameter.java, 26, 0.423077, 0.748555 
root 44, spring-core/src/main/java/org/springframework/core/env/PropertySource.java, 28, 0.214286, 0.752408 
root 45, spring-test/src/main/java/org/springframework/mock/web/MockServletContext.java, 6, 1.000000, 0.756262 
root 46, spring-core/src/main/java/org/springframework/core/type/AnnotationMetadata.java, 38, 0.342105, 0.760116 
root 47, spring-core/src/main/java/org/springframework/core/io/AbstractResource.java, 21, 0.428571, 0.763969 
root 48, spring-web/src/main/java/org/springframework/web/HttpRequestHandler.java, 18, 0.666667, 0.767823 
root 49, spring-context/src/main/java/org/springframework/context/ConfigurableApplicationContext.java, 34, 0.470588, 0.771676 
root 50, spring-context/src/main/java/org/springframework/scheduling/TaskScheduler.java, 30, 0.366667, 0.775530 
root 51, spring-context/src/main/java/org/springframework/context/support/DefaultMessageSourceResolvable.java, 12, 0.333333, 0.778420 
root 52, spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/condition/AbstractRequestCondition.java, 12, 0.833333, 0.781310 
root 53, spring-test/src/main/java/org/springframework/mock/web/PassThroughFilterChain.java, 4, 0.750000, 0.784200 
root 54, spring-web/src/main/java/org/springframework/http/server/ServerHttpRequest.java, 44, 0.522727, 0.787091 
root 55, spring-aop/src/main/java/org/springframework/aop/support/AopUtils.java, 48, 0.333333, 0.789981 
root 56, spring-jms/src/main/java/org/springframework/jms/support/destination/DestinationResolver.java, 51, 0.235294, 0.792871 
root 57, spring-web/src/main/java/org/springframework/web/context/request/ServletRequestAttributes.java, 16, 0.812500, 0.795761 
root 58, spring-core/src/main/java/org/springframework/util/MimeType.java, 129, 0.596899, 0.798651 
root 59, spring-beans/src/main/java/org/springframework/beans/MutablePropertyValues.java, 61, 0.393443, 0.801541 
