Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
src.etc.testcases.core.loaderref.src.Task1_java,2,0,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.javadoc.java.ClassToJavadoc_java,22,3,2,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.manifestclasspath.Alpha_java,5,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.manifestclasspath.Beta_java,9,2,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src1.A_java,3,0,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src1.B_java,2,0,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src1.C_java,2,0,1,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src1.D_java,2,0,1,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src1.E_java,5,1,1,1,3,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src2.A_java,6,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src2.B_java,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src3.A_java,12,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src3.B_java,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src5.A_java,5,0,1,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src5.B_java,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src6.module-info_java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.depend.src6.org_dummy.Foo_java,5,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.optional.javah.input.org.example.Foo_java,5,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.rmic.src.AntTimestamp_java,14,1,2,1,0,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.rmic.src.RemoteTimestampImpl_java,8,1,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.taskdefs.rmic.src.RemoteTimestamp_java,6,1,1,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.types.assertions.AssertionMain_java,9,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.etc.testcases.types.assertions.AssertionTest_java,19,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.main.org.apache.tools.ant.AntClassLoader_java,1148,165,7,3,38,13,51,4,0,0,152,12,1,0,0,2,6,2,1,0,5,34,28,3,0,3
src.main.org.apache.tools.ant.AntTypeDefinition_java,265,33,4,1,10,4,14,0,0,0,18,9,1,1,0,2,2,1,2,0,6,2,2,0,0,0
src.main.org.apache.tools.ant.ArgumentProcessorRegistry_java,87,17,4,1,1,3,4,1,0,0,20,3,1,0,0,1,1,0,0,0,3,4,4,0,0,0
src.main.org.apache.tools.ant.ArgumentProcessor_java,38,5,1,1,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.main.org.apache.tools.ant.BuildEvent_java,129,11,1,1,20,4,24,0,0,0,2,4,1,0,0,0,2,1,0,0,3,3,3,0,0,0
src.main.org.apache.tools.ant.BuildException_java,105,12,3,1,481,1,482,0,0,0,4,15,1,0,0,1,12,1,0,0,4,3,3,0,0,0
src.main.org.apache.tools.ant.BuildListener_java,50,7,1,1,10,1,11,0,0,0,2,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0
src.main.org.apache.tools.ant.BuildLogger_java,25,4,1,0,5,1,6,0,0,0,2,4,0,0,0,0,2,2,0,0,2,0,0,0,0,0
src.main.org.apache.tools.ant.ComponentHelper_java,811,93,4,3,14,16,30,1,0,0,21,15,1,1,0,3,3,5,2,0,6,21,21,0,0,0
src.main.org.apache.tools.ant.DefaultDefinitions_java,48,5,1,1,1,3,4,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
src.main.org.apache.tools.ant.DefaultLogger_java,245,31,1,1,12,8,20,0,0,0,2,6,1,0,0,0,3,2,0,0,3,15,15,0,0,0
src.main.org.apache.tools.ant.DemuxInputStream_java,41,4,1,1,1,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
