Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
babel.src.main.java.org.apache.calcite.sql.babel.Babel_java,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
babel.src.main.java.org.apache.calcite.sql.babel.package-info_java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra.src.main.java.org.apache.calcite.adapter.cassandra.CassandraEnumerator_java,78,15,0,1,1,8,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
cassandra.src.main.java.org.apache.calcite.adapter.cassandra.CassandraFilter_java,360,62,1,1,1,24,25,0,0,0,8,7,1,0,0,0,0,6,0,0,2,4,4,0,0,0
cassandra.src.main.java.org.apache.calcite.adapter.cassandra.CassandraLimit_java,34,7,0,2,1,13,14,0,0,0,0,6,0,0,0,0,0,6,0,0,1,2,2,0,0,0
cassandra.src.main.java.org.apache.calcite.adapter.cassandra.CassandraMethod_java,0,0,0,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
cassandra.src.main.java.org.apache.calcite.adapter.cassandra.CassandraProject_java,27,5,1,1,1,15,16,0,0,0,2,6,1,0,0,0,0,5,0,0,2,1,1,0,0,0
cassandra.src.main.java.org.apache.calcite.adapter.cassandra.CassandraRel_java,74,11,1,1,9,4,13,0,0,0,6,2,0,0,0,0,0,2,0,0,1,2,2,0,0,0
cassandra.src.main.java.org.apache.calcite.adapter.cassandra.CassandraRules_java,497,92,1,5,4,38,42,0,0,0,2,10,1,0,0,0,0,9,0,0,2,11,10,0,1,0
cassandra.src.main.java.org.apache.calcite.adapter.cassandra.CassandraSchemaFactory_java,28,4,2,1,0,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
cassandra.src.main.java.org.apache.calcite.adapter.cassandra.CassandraSchema_java,214,29,2,0,2,23,25,0,0,0,49,2,1,0,0,0,0,1,0,0,2,2,2,0,0,0
