Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
benchmarks.src.main.java.net.openhft.chronicle.queue.benchmark.LatencyDistributionMain_java,144,21,3,1,1,7,8,1,0,0,322,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
benchmarks.src.main.java.net.openhft.chronicle.queue.benchmark.Main_java,37,3,5,1,2,3,5,1,0,0,291,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
benchmarks.src.main.java.net.openhft.chronicle.queue.benchmark.ThroughputMain_java,91,9,2,1,2,7,9,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.engine.client.internal.ClientWiredChronicleQueueStateless_java,43,12,0,0,3,5,8,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.engine.client.internal.ClientWiredExcerptAppenderStateless_java,30,5,1,1,1,4,5,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.engine.client.internal.ClientWiredExcerptTailerStateless_java,43,7,1,1,1,6,7,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.engine.client.internal.CoreFields_java,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.engine.client.internal.QueueAppenderResponse_java,26,7,1,0,4,1,5,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.engine.client.internal.QueueTailerResponse_java,20,5,1,0,2,1,3,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.engine.client.internal.QueueWireHandler_java,154,17,1,2,0,7,7,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.Compression_java,0,0,1,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.Excerpts_java,0,0,1,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.QueueDumpMain_java,22,4,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.AbstractChronicle_java,6,4,0,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.DirectChronicleQueue_java,16,6,1,0,4,1,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.Header_java,59,10,0,2,4,2,6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.Indexer_java,87,13,0,2,4,3,7,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.SingleAppender_java,33,6,1,1,3,3,6,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.SingleChronicleQueue_java,255,50,0,2,6,6,12,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.SingleTailer_java,120,20,2,1,3,6,9,0,0,0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.WireUtil_java,5,1,1,0,5,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.ringbuffer.BytesRingBuffer_java,407,74,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.impl.ringbuffer.ZippedDocumentAppender_java,130,20,1,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.stateless.StatelessAppender_java,26,5,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.stateless.StatelessChronicleQueue_java,39,10,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.stateless.StatelessExcerpt_java,47,9,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.stateless.StatelessTailer_java,45,8,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.stateless.bytes.StatelessRawBytesAppender_java,16,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.queue.stateless.bytes.StatelessRawBytesTailer_java,27,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.sandbox.replay.GenerateData_java,23,2,1,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.sandbox.replay.OffHeapGenerateData_java,23,2,1,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.sandbox.replay.OffHeapReplayData_java,21,4,1,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.sandbox.replay.OffHeapTestData_java,10,8,1,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.sandbox.replay.ReplayData_java,21,4,1,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle-sandbox.src.main.java.net.openhft.chronicle.sandbox.replay.TestData_java,10,8,1,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.GarbageFreeMethodPublisher_java,28,2,0,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.MethodDefinition_java,3,1,0,0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.MlockAll_java,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.PretoucherTask_java,15,3,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.PublishDeltaGenerator_java,148,26,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.PublisherMain_java,57,10,1,1,0,11,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.Publisher_java,61,11,1,0,1,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.ResultGenerator_java,253,46,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.RollTimeCalculator_java,12,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.StageMain_java,48,9,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.Stage_java,51,13,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.config.ConfigParser_java,68,17,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.config.PublisherConfig_java,16,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.config.StageConfig_java,19,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
