Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
extensions.av1.src.main.java.com.google.android.exoplayer2.ext.av1.Gav1DecoderException_java,11,2,2,1,2,1,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extensions.av1.src.main.java.com.google.android.exoplayer2.ext.av1.Gav1Decoder_java,146,28,5,0,1,10,11,0,0,0,254,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
extensions.av1.src.main.java.com.google.android.exoplayer2.ext.av1.Gav1Library_java,17,2,2,0,2,2,4,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extensions.av1.src.main.java.com.google.android.exoplayer2.ext.av1.Libgav1VideoRenderer_java,84,13,11,1,0,22,22,17,0,0,304,9,0,1,0,4,0,2,2,0,4,2,2,0,0,0
extensions.av1.src.main.java.com.google.android.exoplayer2.ext.av1.package-info_java,0,0,1,0,0,1,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extensions.cast.src.main.java.com.google.android.exoplayer2.ext.cast.CastPlayer_java,742,174,32,3,0,19,19,29,0,0,1067,10,0,0,0,3,0,3,4,0,3,15,14,0,1,0
extensions.cast.src.main.java.com.google.android.exoplayer2.ext.cast.CastTimelineTracker_java,58,12,2,0,1,3,4,0,0,0,115,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
extensions.cast.src.main.java.com.google.android.exoplayer2.ext.cast.CastTimeline_java,167,20,8,1,2,2,4,8,0,0,144,4,0,0,0,2,0,1,1,0,3,0,0,0,0,0
extensions.cast.src.main.java.com.google.android.exoplayer2.ext.cast.CastUtils_java,74,23,3,0,2,2,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extensions.cast.src.main.java.com.google.android.exoplayer2.ext.cast.DefaultCastOptionsProvider_java,19,2,4,2,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extensions.cast.src.main.java.com.google.android.exoplayer2.ext.cast.DefaultMediaItemConverter_java,116,21,5,1,0,3,3,1,0,0,276,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
