Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
cli.src.main.java.hudson.cli.CLIConnectionFactory_java,26,3,1,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cli.src.main.java.hudson.cli.CLI_java,457,101,7,3,4,6,10,0,2,0,235,1,1,0,0,0,0,0,0,0,1,26,15,1,3,7
cli.src.main.java.hudson.cli.DiagnosedStreamCorruptionException_java,39,6,2,1,1,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
cli.src.main.java.hudson.cli.FlightRecorderInputStream_java,183,36,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0
cli.src.main.java.hudson.cli.FullDuplexHttpStream_java,84,11,2,1,2,1,3,0,0,0,17,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
cli.src.main.java.hudson.cli.HexDump_java,44,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
cli.src.main.java.hudson.cli.NoCheckTrustManager_java,12,3,2,1,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0
cli.src.main.java.hudson.cli.PlainCLIProtocol_java,510,118,1,3,2,1,3,0,0,0,221,0,0,0,0,0,0,0,0,0,0,9,8,1,0,0
cli.src.main.java.hudson.cli.PrivateKeyProvider_java,74,12,1,0,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
cli.src.main.java.hudson.cli.SSHCLI_java,65,8,2,1,1,3,4,0,0,0,10,1,1,0,0,0,0,0,0,0,1,7,5,0,0,2
cli.src.main.java.hudson.util.QuotedStringTokenizer_java,326,88,1,1,9,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33,32,1,0,0
core.src.main.java.hudson.AbortException_java,16,2,0,0,31,0,31,0,0,0,0,6,0,0,0,0,6,0,0,0,1,0,0,0,0,0
