Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
src.org.jgroups.Address_java,18,1,1,1,153,2,155,0,0,0,8,7,0,0,0,0,5,2,0,0,2,1,1,0,0,0
src.org.jgroups.AnycastAddress_java,91,28,4,0,54,3,57,2,0,0,175,4,0,0,0,0,4,0,0,0,1,5,5,0,0,0
src.org.jgroups.ChannelListener_java,25,3,0,1,55,1,56,0,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0
src.org.jgroups.Channel_java,285,55,3,2,62,14,76,1,0,0,87,9,1,0,0,0,5,3,0,0,3,45,44,1,0,0
src.org.jgroups.Event_java,192,59,8,1,101,1,102,2,0,0,54,6,1,0,0,0,4,1,0,0,3,1,1,0,0,0
src.org.jgroups.Global_java,101,6,4,1,102,2,104,2,0,0,6,9,1,0,0,2,6,0,0,0,3,10,10,0,0,0
src.org.jgroups.Header_java,14,2,0,0,71,1,72,0,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0
src.org.jgroups.JChannel_java,932,232,19,4,71,108,179,5,0,0,572,10,1,1,0,0,6,1,1,0,5,89,89,0,0,0
src.org.jgroups.MembershipListener_java,25,4,0,0,60,2,62,0,0,0,0,5,0,0,0,0,4,1,0,0,2,2,2,0,0,0
src.org.jgroups.Membership_java,159,29,0,0,54,1,55,0,0,0,0,4,0,0,0,0,4,0,0,0,1,4,4,0,0,0
src.org.jgroups.MergeView_java,87,17,0,1,55,5,60,0,0,0,0,4,0,0,0,0,4,0,0,0,1,8,8,0,0,0
src.org.jgroups.MessageListener_java,29,3,0,0,57,1,58,0,0,0,0,4,0,0,0,0,4,0,0,0,1,2,2,0,0,0
src.org.jgroups.Message_java,607,148,11,3,111,10,121,6,0,0,521,13,1,2,0,1,6,0,3,0,5,32,31,1,0,0
src.org.jgroups.PhysicalAddress_java,8,0,0,1,72,2,74,0,0,0,0,6,0,0,0,0,4,2,0,0,2,0,0,0,0,0
src.org.jgroups.ReceiverAdapter_java,42,7,0,2,60,4,64,0,0,0,0,4,0,0,0,0,4,0,0,0,1,7,7,0,0,0
src.org.jgroups.Receiver_java,8,0,0,1,57,2,59,0,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0
src.org.jgroups.StateTransferException_java,16,3,0,1,55,0,55,0,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0
src.org.jgroups.SuspectedException_java,18,3,0,1,54,0,54,0,0,0,0,4,0,0,0,0,4,0,0,0,1,2,2,0,0,0
src.org.jgroups.TimeoutException_java,17,3,0,1,57,0,57,0,0,0,0,4,0,0,0,0,4,0,0,0,1,1,1,0,0,0
src.org.jgroups.UnreachableException_java,20,3,2,1,54,1,55,0,0,0,29,4,0,0,0,0,4,0,0,0,1,1,1,0,0,0
src.org.jgroups.UpHandler_java,12,1,0,0,59,1,60,0,0,0,0,5,0,0,0,0,4,1,0,0,2,0,0,0,0,0
src.org.jgroups.Version_java,86,11,39,1,58,1,59,1,0,0,130,4,0,0,0,0,4,0,0,0,1,16,16,0,0,0
src.org.jgroups.ViewId_java,77,15,0,1,58,3,61,0,0,0,0,5,1,0,0,0,4,0,0,0,2,2,2,0,0,0
src.org.jgroups.View_java,110,19,2,1,89,4,93,0,0,0,19,6,1,0,0,0,5,0,0,0,2,0,0,0,0,0
src.org.jgroups.annotations.DeprecatedProperty_java,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.annotations.Experimental_java,0,0,0,0,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.annotations.GuardedBy_java,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.annotations.Immutable_java,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.annotations.LocalAddress_java,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.annotations.MBean_java,0,0,0,0,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.annotations.ManagedAttribute_java,0,0,0,0,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.annotations.ManagedOperation_java,0,0,0,0,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.annotations.Property_java,0,0,0,0,79,2,81,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0
src.org.jgroups.annotations.Unsupported_java,0,0,0,0,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.auth.AuthToken_java,28,4,1,1,8,5,13,0,0,0,6,5,1,0,0,0,2,2,0,0,3,0,0,0,0,0
src.org.jgroups.auth.FixedMembershipToken_java,76,20,1,0,0,8,8,0,0,0,8,2,0,0,0,0,2,0,0,0,1,5,5,0,0,0
src.org.jgroups.auth.MD5Token_java,84,21,1,0,0,5,5,0,0,0,10,1,0,0,0,0,1,0,0,0,1,8,8,0,0,0
src.org.jgroups.auth.RegexMembership_java,53,16,1,1,0,9,9,0,0,0,4,2,0,0,0,0,2,0,0,0,1,10,10,0,0,0
src.org.jgroups.auth.SimpleToken_java,62,14,2,0,0,5,5,0,0,0,15,1,0,0,0,0,1,0,0,0,1,6,6,0,0,0
src.org.jgroups.auth.X509Token_java,112,23,1,2,1,5,6,0,0,0,34,4,1,0,0,0,2,1,0,0,3,18,17,0,0,1
src.org.jgroups.blocks.AbstractConnectionMap_java,250,49,3,3,3,8,11,1,0,0,106,2,0,0,0,0,2,0,0,0,1,7,6,1,0,0
src.org.jgroups.blocks.BasicConnectionTable_java,1026,260,9,2,4,75,79,11,0,0,89,12,0,1,0,4,3,1,3,0,5,86,83,3,0,0
src.org.jgroups.blocks.Cache_java,266,80,0,2,8,7,15,0,0,0,0,2,0,0,0,0,1,1,0,0,2,12,12,0,0,0
src.org.jgroups.blocks.ConnectionMap_java,3,1,0,1,3,2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0
src.org.jgroups.blocks.ConnectionTableNIO_java,1601,315,4,4,3,7,10,5,0,0,74,7,0,0,0,3,3,0,1,0,3,136,126,8,0,2
src.org.jgroups.blocks.Connection_java,5,3,0,0,6,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.org.jgroups.blocks.GridFile_java,349,95,0,3,5,6,11,0,0,0,0,3,1,0,0,0,1,1,0,0,3,44,43,0,1,0
src.org.jgroups.blocks.GridFilesystem_java,73,21,0,1,3,5,8,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,10,0,0,0
src.org.jgroups.blocks.GridInputStream_java,82,20,0,1,3,5,8,0,0,0,0,1,1,0,0,0,0,0,0,0,1,21,21,0,0,0
src.org.jgroups.blocks.GridOutputStream_java,74,14,0,1,3,5,8,0,0,0,0,1,1,0,0,0,0,0,0,0,1,15,15,0,0,0
src.org.jgroups.blocks.GroupRequest_java,243,63,8,0,5,13,18,5,0,0,145,7,1,0,0,1,3,2,0,0,4,14,14,0,0,0
src.org.jgroups.blocks.LazyRemovalCache_java,203,65,2,1,4,1,5,0,0,0,8,3,1,0,0,0,2,0,0,0,2,7,7,0,0,0
src.org.jgroups.blocks.MemcachedConnector_java,413,120,0,2,3,4,7,0,0,0,0,1,0,0,0,0,1,0,0,0,1,47,46,0,0,1
src.org.jgroups.blocks.MessageDispatcher_java,470,128,14,2,8,108,116,6,0,0,513,8,1,0,0,1,4,2,0,0,4,45,43,2,0,0
src.org.jgroups.blocks.MethodCall_java,363,92,1,1,9,2,11,0,0,0,34,2,1,0,0,0,1,0,0,0,2,28,28,0,0,0
src.org.jgroups.blocks.MethodLookup_java,6,1,0,0,7,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.org.jgroups.blocks.PartitionedHashMap_java,541,132,0,4,5,19,24,0,0,0,0,3,0,0,0,0,2,1,0,0,2,46,46,0,0,0
src.org.jgroups.blocks.ReplCache_java,812,203,0,5,7,86,93,0,0,0,0,5,0,0,0,0,2,3,0,0,2,86,86,0,0,0
src.org.jgroups.blocks.ReplicatedHashMap_java,759,157,1,2,3,35,38,0,0,0,6,3,0,0,0,0,2,1,0,0,2,37,36,0,0,1
src.org.jgroups.blocks.ReplicatedMap_java,13,8,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0
src.org.jgroups.blocks.ReplicatedTree_java,897,252,2,3,2,29,31,0,0,0,2,2,0,0,0,0,2,0,0,0,1,71,71,0,0,0
src.org.jgroups.blocks.RequestCorrelator_java,590,122,12,5,10,38,48,6,0,0,120,6,1,0,0,0,4,1,0,0,3,53,46,2,5,0
src.org.jgroups.blocks.RequestHandler_java,3,1,0,0,7,1,8,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,1,0,0,0
src.org.jgroups.blocks.RequestOptions_java,158,41,1,1,17,5,22,0,0,0,31,3,0,0,0,0,3,0,0,0,1,15,15,0,0,0
src.org.jgroups.blocks.Request_java,172,42,4,2,5,13,18,5,0,0,52,4,1,0,0,0,2,1,0,0,3,23,20,1,2,0
src.org.jgroups.blocks.ResponseMode_java,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.org.jgroups.blocks.RpcDispatcher_java,231,60,6,2,10,99,109,1,0,0,96,5,1,0,0,0,3,1,0,0,3,25,25,0,0,0
src.org.jgroups.blocks.RspCollector_java,7,5,3,0,5,2,7,5,0,0,4,3,0,0,0,1,2,0,0,0,2,3,3,0,0,0
src.org.jgroups.blocks.RspFilter_java,18,2,0,0,9,1,10,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
src.org.jgroups.blocks.TCPConnectionMap_java,1155,234,23,4,3,12,15,14,0,0,1222,12,0,1,0,3,3,2,3,0,5,90,89,1,0,0
src.org.jgroups.blocks.UnicastRequest_java,165,42,7,0,3,33,36,5,0,0,95,5,1,0,0,1,2,1,0,0,4,7,7,0,0,0
src.org.jgroups.blocks.atomic.CounterService_java,39,7,0,0,1,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,0,0,0
src.org.jgroups.blocks.atomic.Counter_java,40,7,0,0,3,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0
src.org.jgroups.blocks.executor.ExecutionCompletionService_java,94,15,0,0,2,3,5,0,0,0,0,3,1,0,0,0,0,2,0,0,2,0,0,0,0,0
src.org.jgroups.blocks.executor.ExecutionRunner_java,106,15,2,1,1,6,7,0,0,0,206,2,0,0,0,0,1,1,0,0,2,4,4,0,0,0
src.org.jgroups.blocks.executor.ExecutionService_java,1045,198,1,4,3,10,13,0,0,0,30,5,1,0,0,0,1,3,0,0,3,24,21,3,0,0
src.org.jgroups.blocks.executor.Executions_java,150,26,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
src.org.jgroups.blocks.executor.ExecutorEvent_java,18,1,0,1,3,1,4,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0
src.org.jgroups.blocks.executor.ExecutorNotification_java,8,3,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.org.jgroups.blocks.locking.AwaitInfo_java,23,4,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.org.jgroups.blocks.locking.LockInfo_java,40,8,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,8,8,0,0,0
src.org.jgroups.blocks.locking.LockNotification_java,11,6,0,0,4,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,4,0,0,0
src.org.jgroups.blocks.locking.LockService_java,200,55,0,2,1,7,8,0,0,0,0,2,0,0,0,0,1,1,0,0,2,4,2,2,0,0
src.org.jgroups.blocks.mux.MuxHeader_java,28,7,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
src.org.jgroups.blocks.mux.MuxMessageDispatcher_java,44,9,0,1,0,17,17,0,0,0,0,3,0,0,0,0,1,2,0,0,2,3,3,0,0,0
src.org.jgroups.blocks.mux.MuxRequestCorrelator_java,26,4,0,0,3,10,13,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,0,0,0
src.org.jgroups.blocks.mux.MuxRpcDispatcher_java,59,10,0,1,0,19,19,0,0,0,0,4,0,0,0,0,1,3,0,0,2,4,4,0,0,0
src.org.jgroups.blocks.mux.MuxUpHandler_java,111,24,0,1,2,11,13,0,0,0,0,2,0,0,0,0,0,2,0,0,1,3,1,2,0,0
src.org.jgroups.blocks.mux.Muxer_java,33,5,0,0,4,0,4,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0
src.org.jgroups.blocks.mux.NoMuxHandlerRspFilter_java,26,7,0,0,2,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.org.jgroups.blocks.mux.NoMuxHandler_java,22,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
src.org.jgroups.client.StompConnection_java,330,77,0,1,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,2,1,2
src.org.jgroups.conf.ClassConfigurator_java,176,37,2,2,11,6,17,0,0,0,52,4,1,0,0,0,3,0,0,0,2,13,12,0,1,0
src.org.jgroups.conf.ConfiguratorFactory_java,170,31,1,2,3,6,9,0,0,0,2,4,1,0,0,0,2,1,0,0,3,11,11,0,0,0
src.org.jgroups.conf.PlainConfigurator_java,29,3,0,1,1,2,3,0,0,0,0,3,1,0,0,0,1,1,0,0,3,1,1,0,0,0
src.org.jgroups.conf.PropertyConverter_java,15,2,0,0,4,1,5,0,0,0,0,3,0,0,0,0,2,1,0,0,2,2,2,0,0,0
src.org.jgroups.conf.PropertyConverters_java,448,112,2,2,14,8,22,0,0,0,76,6,1,0,0,0,4,1,0,0,3,33,30,0,0,3
src.org.jgroups.conf.PropertyHelper_java,126,30,1,1,1,8,9,0,0,0,4,5,1,0,0,0,3,1,0,0,3,18,18,0,0,0
src.org.jgroups.conf.ProtocolConfiguration_java,141,35,2,2,6,3,9,0,0,0,8,4,1,0,0,0,3,0,0,0,2,12,12,0,0,0
src.org.jgroups.conf.ProtocolStackConfigurator_java,9,2,0,0,5,0,5,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0
src.org.jgroups.conf.XmlConfigurator_java,270,57,1,1,1,7,8,0,0,0,14,5,1,0,0,0,3,1,0,0,3,28,26,0,1,1
src.org.jgroups.demos.Chat_java,55,12,1,0,0,5,5,0,0,0,11,1,0,0,0,0,0,1,0,0,1,15,13,0,0,2
src.org.jgroups.demos.CounterServiceDemo_java,100,21,0,0,0,7,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,25,24,0,0,1
