Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
mvn.wrapper.MavenWrapperDownloader_java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.cpd.ApexLanguage_java,13,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.cpd.ApexTokenizer_java,40,7,2,1,1,5,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ApexHandler_java,49,14,11,1,1,18,19,10,0,1,113,3,0,0,0,1,2,0,0,0,2,4,4,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ApexJorjeLogging_java,8,2,1,0,2,0,2,0,0,0,6,1,0,0,0,0,1,0,0,0,1,2,1,0,0,1
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ApexLanguageModule_java,9,1,1,1,2,3,5,0,0,0,4,1,0,0,0,0,1,0,0,0,1,3,2,0,1,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ApexParserOptions_java,2,0,0,1,6,1,7,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ApexParser_java,22,5,3,1,1,7,8,0,0,0,16,2,0,0,0,1,1,0,0,0,2,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTAnnotationParameter_java,27,8,3,3,6,3,9,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTAnnotation_java,30,9,3,2,14,6,20,89,0,0,12,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTAnonymousClass_java,11,3,3,3,4,4,8,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTArrayLoadExpression_java,8,2,3,2,4,3,7,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTArrayStoreExpression_java,8,2,3,2,4,3,7,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTAssignmentExpression_java,11,3,3,2,9,3,12,89,0,0,14,3,0,0,0,1,0,1,1,0,3,2,2,0,0,0
