Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
pulsar-broker-auth-athenz.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationProviderAthenz_java,87,18,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
pulsar-broker-auth-sasl.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationProviderSasl_java,180,28,2,1,0,14,14,0,0,0,189,1,0,0,0,0,0,1,0,0,1,6,5,0,0,1
pulsar-broker-auth-sasl.src.main.java.org.apache.pulsar.broker.authentication.PulsarSaslServer_java,152,24,2,0,2,3,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0
pulsar-broker-auth-sasl.src.main.java.org.apache.pulsar.broker.authentication.SaslAuthenticationDataSource_java,21,5,1,0,2,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker-auth-sasl.src.main.java.org.apache.pulsar.broker.authentication.SaslAuthenticationState_java,31,6,1,1,1,4,5,0,0,0,15,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
pulsar-broker-auth-sasl.src.main.java.org.apache.pulsar.broker.authentication.SaslRoleTokenSigner_java,62,8,2,0,1,0,1,0,0,0,109,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
pulsar-broker-auth-sasl.src.main.java.org.apache.pulsar.broker.authentication.SaslRoleToken_java,152,19,1,1,1,0,1,0,0,0,228,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.PulsarServerException_java,28,7,0,1,31,0,31,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.ServiceConfigurationUtils_java,18,3,3,0,5,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.ServiceConfiguration_java,362,20,67,0,62,8,70,0,0,0,616,28,1,7,0,8,2,0,10,1,5,11,11,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationDataCommand_java,36,8,1,1,3,1,4,0,0,0,2,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationDataHttp_java,26,7,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationDataHttps_java,13,3,0,2,11,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationDataSource_java,69,10,0,0,38,1,39,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationProviderBasic_java,130,28,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationProviderTls_java,27,8,1,1,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationProviderToken_java,180,34,7,1,2,7,9,0,0,0,317,6,0,0,0,2,0,1,3,0,3,12,12,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationProvider_java,36,5,1,0,10,5,15,0,0,0,10,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationService_java,79,17,0,0,15,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.AuthenticationState_java,41,7,4,0,7,2,9,0,0,0,77,7,0,1,0,2,0,1,3,0,4,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.OneStageAuthenticationState_java,24,5,0,1,1,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authentication.utils.AuthTokenUtils_java,63,12,3,0,2,1,3,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authorization.AuthorizationProvider_java,86,10,2,0,2,6,8,0,0,0,32,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authorization.AuthorizationService_java,222,32,2,0,19,9,28,0,0,0,23,1,0,0,0,0,1,0,0,0,1,15,15,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.authorization.PulsarAuthorizationProvider_java,362,55,1,2,5,13,18,0,0,0,20,3,1,0,0,0,1,1,0,0,3,23,21,0,2,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.cache.ConfigurationCacheService_java,130,22,2,1,34,11,45,0,0,0,14,1,0,0,0,0,0,1,0,0,1,6,6,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.web.AuthenticationFilter_java,53,10,1,1,9,4,13,0,0,0,48,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.web.JsonMapperProvider_java,6,1,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.broker.web.WebExecutorThreadPool_java,13,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.common.configuration.Category_java,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.common.configuration.FieldContext_java,0,0,0,0,10,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.common.configuration.PropertiesContext_java,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.common.configuration.PropertyContext_java,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.common.configuration.PulsarConfigurationLoader_java,152,19,1,0,11,4,15,0,0,0,6,1,0,0,0,0,1,0,0,0,1,20,16,0,0,4
pulsar-broker-common.src.main.java.org.apache.pulsar.common.configuration.PulsarConfiguration_java,4,2,0,0,6,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
pulsar-broker-common.src.main.java.org.apache.pulsar.common.configuration.VipStatus_java,20,3,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.PulsarBrokerStarter_java,388,57,16,2,0,11,11,0,0,0,112,8,0,1,0,4,0,0,3,0,3,18,16,1,0,1
pulsar-broker.src.main.java.org.apache.pulsar.PulsarClusterMetadataSetup_java,193,25,3,1,1,13,14,0,0,0,259,1,0,0,0,0,0,1,0,0,1,12,11,0,0,1
pulsar-broker.src.main.java.org.apache.pulsar.PulsarStandaloneBuilder_java,78,17,0,1,1,3,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.PulsarStandaloneStarter_java,79,16,4,1,0,7,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,6,1,0,1
pulsar-broker.src.main.java.org.apache.pulsar.PulsarStandalone_java,263,58,11,2,2,18,20,0,0,0,140,2,1,0,0,1,0,0,0,0,2,6,1,5,0,0
pulsar-broker.src.main.java.org.apache.pulsar.PulsarTransactionCoordinatorMetadataSetup_java,49,4,1,3,0,3,3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1
pulsar-broker.src.main.java.org.apache.pulsar.broker.BookKeeperClientFactoryImpl_java,119,21,14,0,2,7,9,0,0,0,201,7,0,0,0,2,1,2,2,0,4,3,2,1,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.BookKeeperClientFactory_java,7,2,1,0,5,1,6,0,0,0,8,3,0,0,0,0,2,1,0,0,2,1,1,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.BrokerData_java,35,7,0,0,6,3,9,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.BundleData_java,56,10,0,0,10,3,13,0,0,0,0,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.ManagedLedgerClientFactory_java,75,8,3,0,1,2,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.MessagingServiceShutdownHook_java,67,8,1,0,1,3,4,0,0,0,4,2,1,0,0,0,0,1,0,0,2,5,5,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.NoOpShutdownService_java,8,2,1,1,0,1,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.PulsarService_java,766,126,32,3,79,68,147,0,0,0,655,34,1,6,1,3,12,5,7,1,6,41,35,6,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.TimeAverageBrokerData_java,116,22,0,1,4,4,8,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.TimeAverageMessageData_java,106,20,0,0,7,1,8,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.TransactionMetadataStoreService_java,125,35,3,1,3,14,17,0,0,0,206,4,1,0,0,0,3,0,0,0,2,1,1,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.AdminResource_java,611,99,33,3,42,35,77,0,0,0,1151,20,1,5,1,1,5,3,5,1,6,34,34,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.ZkAdminPaths_java,18,5,3,1,3,3,6,0,0,0,12,6,0,2,0,2,0,0,2,0,3,0,0,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.BrokerStatsBase_java,85,8,1,1,2,17,19,0,0,0,2,4,0,0,0,0,2,2,0,0,2,13,13,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.BrokersBase_java,216,26,12,1,2,22,24,0,0,0,158,8,0,0,0,3,2,2,1,0,4,25,25,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.ClustersBase_java,517,55,7,1,2,18,20,0,1,0,502,6,0,1,0,1,1,2,1,0,5,53,50,3,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.FunctionsBase_java,75,24,14,2,2,13,15,0,0,0,887,3,0,0,0,1,1,1,0,0,3,9,9,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.NamespacesBase_java,1802,203,37,1,4,50,54,0,3,0,1742,31,1,7,0,8,2,5,8,0,6,165,153,12,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.PersistentTopicsBase_java,2023,259,73,1,5,51,56,0,2,0,9248,26,1,6,1,2,2,9,6,0,6,116,115,1,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.ResourceQuotasBase_java,84,8,0,2,2,11,13,0,0,0,0,2,0,0,0,0,1,1,0,0,2,16,16,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.SinksBase_java,61,19,10,1,2,10,12,0,0,0,615,3,0,0,0,1,1,1,0,0,3,4,4,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.SourcesBase_java,61,19,11,1,2,10,12,0,0,0,635,3,0,0,0,1,1,1,0,0,3,4,4,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.impl.TenantsBase_java,148,16,8,1,2,10,12,0,0,0,96,5,0,1,0,1,0,2,1,0,4,16,16,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v1.BrokerStats_java,6,1,0,1,0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v1.Brokers_java,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v1.Clusters_java,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v1.Functions_java,2,0,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v1.Namespaces_java,339,66,17,2,0,22,22,0,0,0,391,19,0,4,0,7,0,2,6,0,4,68,68,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v1.NonPersistentTopics_java,139,16,25,1,0,23,23,0,0,0,390,18,0,5,0,5,0,3,5,0,4,24,23,1,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v1.PersistentTopics_java,234,32,28,2,1,16,17,0,2,0,588,15,0,2,0,6,0,2,5,0,4,39,39,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v1.Properties_java,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v1.ResourceQuotas_java,14,3,1,1,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
pulsar-broker.src.main.java.org.apache.pulsar.broker.admin.v2.Bookies_java,53,9,2,1,0,7,7,0,0,0,46,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
