Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
spring-aop.src.main.java.org.aopalliance.aop.Advice_java,7,0,0,1,35,0,35,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.aopalliance.aop.AspectException_java,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-aop.src.main.java.org.aopalliance.aop.package-info_java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-aop.src.main.java.org.aopalliance.intercept.ConstructorInterceptor_java,13,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
spring-aop.src.main.java.org.aopalliance.intercept.ConstructorInvocation_java,12,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
spring-aop.src.main.java.org.aopalliance.intercept.Interceptor_java,7,0,0,1,5,1,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.aopalliance.intercept.Invocation_java,11,1,0,1,21,1,22,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.aopalliance.intercept.Joinpoint_java,22,3,0,1,36,0,36,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
spring-aop.src.main.java.org.aopalliance.intercept.MethodInterceptor_java,13,1,0,0,42,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
spring-aop.src.main.java.org.aopalliance.intercept.MethodInvocation_java,12,1,0,1,57,1,58,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.aopalliance.intercept.package-info_java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-aop.src.main.java.org.aopalliance.package-info_java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.Advisor_java,28,2,0,0,30,1,31,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
spring-aop.src.main.java.org.springframework.aop.AfterAdvice_java,8,0,0,2,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.AfterReturningAdvice_java,17,1,1,1,4,2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
spring-aop.src.main.java.org.springframework.aop.AopInvocationException_java,22,2,0,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.BeforeAdvice_java,7,0,0,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.ClassFilter_java,18,1,1,0,27,1,28,0,0,0,7,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
spring-aop.src.main.java.org.springframework.aop.DynamicIntroductionAdvice_java,15,1,0,0,5,1,6,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.IntroductionAdvisor_java,18,2,0,0,6,3,9,0,0,0,0,3,0,0,0,0,0,3,0,0,1,1,1,0,0,0
spring-aop.src.main.java.org.springframework.aop.IntroductionAwareMethodMatcher_java,15,1,0,0,4,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.IntroductionInfo_java,12,1,0,0,4,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.IntroductionInterceptor_java,7,0,0,1,3,2,5,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.MethodBeforeAdvice_java,16,1,1,1,5,2,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
spring-aop.src.main.java.org.springframework.aop.MethodMatcher_java,34,3,1,0,20,1,21,0,0,0,7,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
spring-aop.src.main.java.org.springframework.aop.PointcutAdvisor_java,10,1,0,0,8,2,10,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.Pointcut_java,25,2,0,0,31,3,34,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
spring-aop.src.main.java.org.springframework.aop.ProxyMethodInvocation_java,44,6,0,0,8,2,10,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
spring-aop.src.main.java.org.springframework.aop.RawTargetAccess_java,8,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
