IssueId,IssueKee,IssueType,RuleId,Severity,Message,FileName
111550,AXI_P_Y4SfYPAADgXGEW,CodeSmell,524,MAJOR,1 duplicated blocks of code must be removed.,library/core/src/main/java/com/google/android/exoplayer2/source/chunk/ContainerMediaChunk.java
112207,AXI_QNMlSfYPAADgXGOn,CodeSmell,524,MAJOR,2 duplicated blocks of code must be removed.,library/core/src/main/java/com/google/android/exoplayer2/audio/MediaCodecAudioRenderer.java
111551,AXI_P_Y4SfYPAADgXGEX,CodeSmell,1509,MAJOR,"Constructor has 13 parameters, which is greater than 7 authorized.",library/core/src/main/java/com/google/android/exoplayer2/source/chunk/ContainerMediaChunk.java
111552,AXI_QAKUSfYPAADgXGEY,CodeSmell,1509,MAJOR,"Constructor has 10 parameters, which is greater than 7 authorized.",library/core/src/main/java/com/google/android/exoplayer2/source/chunk/ChunkSampleStream.java
111553,AXI_QAKUSfYPAADgXGEZ,CodeSmell,1538,MINOR,Reduce the total number of break and continue statements in this loop to use at most one.,library/core/src/main/java/com/google/android/exoplayer2/source/chunk/ChunkSampleStream.java
111554,AXI_QAKUSfYPAADgXGEa,CodeSmell,1829,MAJOR,Extract this nested ternary operation into an independent statement.,library/core/src/main/java/com/google/android/exoplayer2/source/chunk/ChunkSampleStream.java
111555,AXI_QAKUSfYPAADgXGEb,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,library/core/src/main/java/com/google/android/exoplayer2/source/chunk/ChunkSampleStream.java
111556,AXI_QAKVSfYPAADgXGEc,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,library/core/src/main/java/com/google/android/exoplayer2/source/chunk/ChunkSampleStream.java
111557,AXI_QAX0SfYPAADgXGEd,CodeSmell,1509,MAJOR,"Constructor has 8 parameters, which is greater than 7 authorized.",library/core/src/main/java/com/google/android/exoplayer2/source/chunk/MediaChunk.java
111558,AXI_QAYaSfYPAADgXGEe,Vulnerability,1640,MINOR,Make endOfStream a static final constant or non-public and provide accessors if needed.,library/core/src/main/java/com/google/android/exoplayer2/source/chunk/ChunkHolder.java
